"","Alive","Death","ODN","ODF","REL","BUP","BUPC","MET","METC","ABS"
"326",0,0.275549589270682,0.0107625958883162,0.307573265360697,0.139838326633434,0.0273120916488562,0.016016589359316,0.100303437188244,0.120955563203682,0.00168854144677365
"327",0,0.277112918787734,0.0107014522289992,0.308046713764175,0.139123419040464,0.0271822342649293,0.015939386225175,0.0998339255108088,0.120378688332222,0.00168126184549234
"328",0,0.278668525686611,0.0106407326080464,0.308517475839949,0.138413860257386,0.0270528252946434,0.0158624862930617,0.0993661365143402,0.119803982415666,0.00167397509029653
"329",0,0.280216453217801,0.0105804163668933,0.308985569434149,0.137709389821838,0.0269239035602834,0.0157859213175867,0.098900102415617,0.119231558710272,0.00166668515555914
"330",0,0.281756743864889,0.0105204934996378,0.309451011950232,0.137009792804216,0.0267954985116578,0.0157097117731137,0.0984358518126896,0.118661500097559,0.0016593956860054
"331",0,0.283289439463643,0.0104609564597407,0.309913820457782,0.13631489105884,0.026667632901499,0.0156338709710258,0.097973410014668,0.118093868694036,0.00165210997876528
"332",0,0.284814581285845,0.0104017987943366,0.310374011740899,0.135624534064627,0.0265403243978816,0.0155584075815414,0.0975127992679304,0.117528711869989,0.00164483099694907
"333",0,0.286332210101181,0.0103430148007253,0.310831602331388,0.134938592482234,0.0264135867332615,0.0154833271000946,0.0970540390492309,0.116966066007734,0.00163756139415107
"334",0,0.287842366224938,0.0102845992661597,0.311286608530432,0.134256953706363,0.0262874305356029,0.0154086327924977,0.0965971463429578,0.11640595905903,0.00163030354201829
"335",0,0.289345089555824,0.0102265473770127,0.311739046426256,0.133579518554795,0.0261618639518644,0.0153343263252906,0.0961421358969823,0.11584841235434,0.00162305955763536
"336",0,0.290840419606609,0.0101688546526811,0.312188931908851,0.132906198794515,0.0260368931255911,0.0152604082013109,0.0956890204524465,0.115293441928646,0.0016158313293502
"337",0,0.292475760254328,0.0101068495591649,0.312636074192495,0.132173033914602,0.0259043903656725,0.015181700121227,0.0952090493021514,0.114704710847287,0.00160843144307263
"338",0,0.294102419118138,0.01004556373849,0.313080505098904,0.131446248743194,0.0257722439224794,0.0151031779032511,0.094730885362437,0.114117939038682,0.00160101707442532
"339",0,0.29572044999209,0.00998474152504794,0.313522245138761,0.130725539819863,0.0256405394056846,0.015024931328618,0.0942545859871508,0.113533374566571,0.00159359223621277
"340",0,0.297329905159321,0.00992436592745549,0.313961314071028,0.130010530854865,0.0255093297525714,0.014947017196941,0.0937801855302322,0.112951190179342,0.00158616132824376
"341",0,0.298930835771127,0.0098644153920357,0.314397730701095,0.129300946923298,0.0253786551361451,0.0148694683619583,0.0933077166090084,0.112371502590991,0.00157872851434184
"342",0,0.300523292071736,0.00980487937070897,0.314831513367692,0.128596560912948,0.0252485459401924,0.0147923059141751,0.0928372080200747,0.111794396790809,0.00157129761166296
"343",0,0.302107323535665,0.00974574985023424,0.315262680055031,0.127897184285301,0.025119025552317,0.0147155434762317,0.0923686850934899,0.111219936079498,0.00156387207223157
"344",0,0.303682978964529,0.0096870199530789,0.31569124844305,0.12720265746842,0.0249901120489801,0.0146391898327762,0.0919021699359033,0.110648168355977,0.0015564549972859
"345",0,0.305250306558619,0.00962868358172623,0.316117235941925,0.126512843111205,0.0248618193963909,0.0145632504603904,0.0914376817418735,0.110079130044872,0.00154904916299742
"346",0,0.306809353972135,0.0095707351507368,0.316540659714724,0.125827621422481,0.0247341583193923,0.0144877285137558,0.0909752370876462,0.109512848769751,0.00154165704937766
"347",0,0.308360168357036,0.00951316949245121,0.316961536695888,0.125146886702371,0.0246071369533598,0.0144126254833781,0.0905148502018198,0.108949345244709,0.00153428086898791
"348",0,0.309902796398618,0.00945598178828222,0.31737988360668,0.124470544749821,0.0244807613436011,0.0143379416500456,0.0900565332082185,0.108388634660716,0.00152692259401719
"349",0,0.311590993214632,0.00939434440467314,0.317795503586561,0.12373201368364,0.0243465371032747,0.0142582698242183,0.0895702059113557,0.107792746421171,0.00151938585047387
"350",0,0.313269548726519,0.00933346126377501,0.318208430004368,0.123000285078299,0.0242127153013884,0.0141788101202617,0.0890858781103217,0.107199035845305,0.00151183554976228
"351",0,0.314938526682951,0.00927306687629695,0.318618684483291,0.1222750359198,0.024079384991131,0.0140996560250447,0.0886036086618264,0.106607760454377,0.00150427590528083
"352",0,0.316597989057158,0.00921314343265953,0.319026287858597,0.12155586914311,0.0239466011046055,0.0140208665525466,0.0881234322913602,0.106019099030432,0.00149671152953066
"353",0,0.318247996484178,0.00915366839041029,0.319431259968238,0.120842493851964,0.0238144052094714,0.0139424757154423,0.0876453818508388,0.105433171744231,0.00148914678522621
