"n_inc_costs_TOTAL_6mo","n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_TOTAL_life","n_inc_costs_HEALTH_SECTOR_6mo","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_costs_HEALTH_SECTOR_life","n_inc_qalys_TOTAL_6mo","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr","n_inc_qalys_TOTAL_life","n_inc_costs_TX_6mo","n_inc_costs_TX_1yr","n_inc_costs_TX_5yr","n_inc_costs_TX_10yr","n_inc_costs_TX_life","n_inc_costs_HRU_6mo","n_inc_costs_HRU_1yr","n_inc_costs_HRU_5yr","n_inc_costs_HRU_10yr","n_inc_costs_HRU_life","n_inc_costs_CRIMINAL_6mo","n_inc_costs_CRIMINAL_1yr","n_inc_costs_CRIMINAL_5yr","n_inc_costs_CRIMINAL_10yr","n_inc_costs_CRIMINAL_life"
-5244.35041905825,-7816.8695884185,-13958.5401455863,-15710.1423650797,-17853.8351342868,-1107.78840420577,-1800.14572074944,-3605.41138345053,-3994.83620565857,-4154.16164735667,-0.00183015664190272,-0.00497001396393482,-0.0321603270361934,-0.0576218640170136,-0.106916221451824,-1192.5845270196,-2057.32529437054,-4389.84510271145,-4828.76208229668,-5174.79040956691,84.7900500913474,257.15221413677,784.010148242254,833.11383892475,1019.05359039722,-4136.56201485247,-6016.72386766906,-10353.1287621357,-11715.3061594211,-13699.6734869303
4777.81756453933,7570.85422123462,14376.1315062171,14769.2411949405,13135.9323082643,-1426.9852305665,-2378.66337173355,-4901.72481635865,-5360.5281397041,-5478.27854322465,-0.0108230231674761,-0.0170767199560373,-0.0482823037870106,-0.0752860608517212,-0.133056683355175,-1433.00940974488,-2473.39848736892,-5444.11099237691,-6007.17620537333,-6436.72623617746,6.02238161250375,94.7256622638747,542.198245122709,646.275080130934,957.686520389267,6204.80279510582,9949.51759296817,19277.8563225758,20129.7693346446,18614.2108514889
-2518.04105493297,-3802.18073823952,-5600.10983759629,-6181.54434500274,-9752.74857112649,-910.700478674549,-1480.64386430029,-3288.1560109257,-3900.8780146374,-4288.69263305562,0.00666108297870416,0.00766810418857433,-0.0350506694127164,-0.101486975063483,-0.248484652025587,-1323.09880702317,-2454.13702638156,-6179.23510826955,-7150.65987871662,-8249.18567755712,412.388642276811,973.44767359555,2890.31144398992,3248.26164026379,3957.27378535108,-1607.34057625842,-2321.53687393923,-2311.95382667059,-2280.66633036532,-5464.05593807093
205.268027723924,959.709194720304,4646.02084588472,5296.73720633972,4017.92974935076,-1355.46002061895,-2238.90863784696,-4578.51427561456,-5016.1902781847,-5149.84071589549,0.00278153381933249,0.00212753480950623,-0.0294674064906402,-0.0675728730664478,-0.147881675696523,-1405.40494295568,-2522.33342342555,-5703.39014482548,-6305.08990122804,-6920.39358753653,49.9389075550478,283.395350459199,1124.36372522462,1287.831589964,1768.17289709931,1560.72804834288,3198.61783256727,9224.53512149926,10312.9274845244,9167.77046524626
-1787.66397577316,-2255.01499543801,-2308.66988519601,-2919.50528354154,-5533.67026576545,-1385.08824454705,-2321.4804256672,-4789.20277827107,-5281.40602740264,-5408.38763840904,-0.00184710317689929,-0.00485878325127298,-0.0465636157728109,-0.0864294737985736,-0.154601293915348,-1601.51943803667,-2861.5319278922,-6236.45519855023,-6854.54244915133,-7592.46304157341,216.416154508422,539.98175124722,1446.27779163283,1571.37221473992,2180.9328398915,-402.575731226116,66.4654302291874,2480.53289307505,2361.9007438611,-125.282627356413
-4997.46668550196,-7581.08944338984,-12648.4099125734,-13510.1871767055,-14935.1065217708,-1143.38789111282,-1884.02480186222,-3755.80896995222,-4103.55233886873,-4205.59997035901,0.00173786833191564,0.00226161047070506,-0.0125361488484268,-0.0347654025805797,-0.0866234328340667,-1256.3726835721,-2158.81307979424,-4583.50264023808,-5056.59212893857,-5440.9380957109,112.981665817246,274.772199322889,827.441913288634,952.566756958247,1234.40518056382,-3854.07879438915,-5697.06464152762,-8892.6009426212,-9406.63483783673,-10729.5065514118
2967.35920062531,5142.0483948017,11685.9000687983,12470.4087923793,10643.3203329589,-1199.68676031207,-2058.49575182581,-4561.68477101062,-5146.45506047342,-5299.0706605844,0.0105032017096136,0.0156079993674303,0.00257565277187677,-0.0344209574855121,-0.118570800443027,-1497.51916439054,-2642.06064398416,-6151.42089162975,-6970.31840024627,-7662.34359049916,297.82580438749,583.536156166308,1589.26428871742,1822.88611654965,2361.06765346343,4167.04596093738,7200.54414662751,16247.5848398089,17616.8638528528,15942.3909935433
-4395.99386176403,-6269.29840523854,-9396.64980409777,-10126.1011368762,-11555.6939925696,-1054.83922740751,-1775.58418132373,-3571.33001553389,-3862.65334127832,-3917.4283514307,0.00344241332477474,0.00596417740446209,0.000863331619486818,-0.0153050951903246,-0.0539671897458263,-1268.08671911561,-2172.73279073862,-4498.38180731364,-4885.5642064023,-5168.17360509464,213.244425771976,397.13522504448,926.852523035654,1022.54539710116,1250.10960737156,-3341.15463435652,-4493.71422391481,-5825.31978856387,-6263.44779559787,-7638.26564113883
-2328.61619896156,-3697.96600838265,-8068.02452061982,-10347.4861164686,-14514.9576392613,-1420.46711296221,-2264.73565908847,-4331.54969777726,-4845.7393195893,-5055.76627431964,-0.0108686249933487,-0.0190155608703889,-0.0827841942290455,-0.146572660539248,-0.282560896989171,-1457.59289839764,-2577.52053946702,-5625.2733445552,-6337.74983676934,-7237.11846281808,37.1104205283737,312.714896457727,1292.67895629511,1489.99613198288,2177.50088845872,-908.149085999345,-1433.23034929417,-3736.47482284255,-5501.74679687931,-9459.19136494165
4514.08228426768,7475.38837037261,14080.026171589,13548.9433797603,10433.4012815288,-1125.19884959612,-1846.71316690031,-3896.68207219996,-4398.18359721237,-4535.39691022123,0.00454528272806132,0.00504234910177748,-0.0253684293578917,-0.0663964762337903,-0.143234417928785,-1273.25157199382,-2259.75116101691,-5086.38006203562,-5654.58668670485,-6098.78487724558,148.044680629439,412.999990665474,1189.12298145575,1255.36673304825,1561.44865517049,5639.28113386379,9322.10153727292,17976.708243789,17947.1269769726,14968.79819175
