"ICER (1-year)","ICER (5-year)","ICER (10-year)","ICER (Lifetime)","ICER (Health Sector 1-year)","ICER (Health Sector 5-year)","ICER (Health Sector 10-year)","ICER (Health Sector Lifetime)"
-3436366.36394877,-8526558.47222832,-45274163.4916501,5032999.19597422,-459660.05643339,-1218072.91302904,-6644128.94772605,762021.93344766
207933.411268531,168932.704265264,149210.437754113,122460.496518224,-20706.2107728516,-19552.5915730056,-18567.8907202758,-16403.4630643149
-318959.111784028,-613078.803477464,1072309.84718193,51505.7856959111,18006.7089267508,79679.0355696156,-232122.728272672,-21613.3962563255
40831.6275279184,35493.4902777527,32806.2058998476,28511.7039759557,5328.56919817613,5214.57291095712,4881.07016837737,3522.12325260467
428287.004064673,415577.249123328,405436.356603002,401238.809988426,-42380.7831931146,-40784.7631106022,-39684.1831133837,-39786.2305208985
80217.2370030944,76735.7767458066,74620.8315789737,68044.0081203758,9374.6302453958,8712.11152854417,8296.92310437704,7063.75240351256
-40127.6302808054,-42809.3473079004,-42839.7074766053,-36818.176557116,-3630.62028309268,-3417.36248325927,-3362.45523292031,-3374.09384739563
9042.5747005884,9000.66349460842,8588.11028130495,7249.28573916436,-2737.6150494679,-2645.52724028341,-2604.52150300088,-2403.27797981243
-98845.6391339812,-97051.9543138094,-89122.3144002035,-61773.1967311319,1268.2060463136,120.37929527389,-444.074034815867,-1512.95688127952
105108.488491845,96632.7131049997,92810.4506681988,88848.2444370585,3881.35381979636,3829.31143933216,3719.87585582012,3212.67712697691
141373.801332782,156214.052511335,166540.569737301,200488.734047991,-22989.1742495135,-24329.9577803668,-25498.5847372286,-30217.5889631676
53222.8955869294,44375.5082068573,40355.1391126637,36664.2727563548,39353.3230792483,37377.4132726336,36320.2609757212,33765.1338304137
106665.785760326,102424.670913087,100281.382603148,95711.3290546934,-12143.4649741192,-11895.7975831467,-11750.6228851965,-11033.3377648282
-1613399.71487005,2503337.6957277,935882.985636522,369379.535483143,1008765.73396118,-1400606.59777476,-496180.869030672,-183542.890539239
-7699.98982976338,-12870.9584274403,-14308.7993254443,-11937.478299033,1953.88025541492,1252.63136176654,824.243624783855,-419.507129942422
41781.8407832577,34389.6065780435,28953.7710040803,16196.2050860709,-17388.5211349421,-11174.8064030139,-8736.69202761356,-4260.39700741282
308202.251057409,384314.968352438,437192.443637804,791465.862432485,2644.38285229135,4319.48563248133,5471.57693183106,13098.8783767651
254428.852036394,215208.196008564,202215.915835858,295237.50652022,-100051.146720783,-84681.3444772925,-79157.8286635916,-113849.286062764
6340110.17375841,-7392460.8679105,-2661556.6866526,-1311686.81260083,32961.5515907791,-48464.4704035753,-19732.2396726279,-14240.4791959441
421083.366208876,453926.353383257,480872.421111094,574342.410244337,342.257341700495,744.683878768048,1021.42466195047,1942.37492826747
101436.742501133,102413.713291939,103097.927051671,106931.356155867,6713.4958397678,6626.71073364715,6581.32506217035,6543.74284096864
68590.9795975643,59618.0010361132,55796.0700921202,50730.0620936513,-8513.37710127036,-8155.19853928815,-7982.59497614515,-7415.47841055232
150588.269191818,168397.649158994,179716.949277394,203912.782957481,26684.4446624221,27259.6486721922,28269.6602607232,32846.6258164049
93069.4846687925,99221.7746736135,101111.743038063,83704.8338267633,-164391.741842647,-164185.934792137,-165284.346936553,-130705.565483299
145471.854140006,151466.540733226,160465.500114381,228676.713724445,1795.3049879651,651.573289537377,475.409957577804,1805.61393109247
136464.317896653,116489.147184795,106834.555964334,90451.6155249391,-40136.3688406659,-37764.8893196039,-36594.3046968879,-33170.0386766471
-76509.0388426213,31222.7839441183,-847569.896834451,-29700.4174561235,147263.035043046,369773.654838579,-2586820.83758781,-91179.079158008
190617.548263296,217602.082902366,241008.654024448,334929.412247258,-10464.9457885103,-11426.777109775,-12311.7654988615,-15797.6294951933
204174.952517995,208169.486340338,195743.556351366,145600.490784797,-33591.0919183513,-23524.4900104891,-19222.2387616397,-14336.8491912088
379116.675904341,314177.882774676,281485.697617892,219903.154275691,48830.9174861915,40487.2496523985,36214.9911313047,27726.6483325542
-6608.38219084097,-15592.1718602079,-17398.3133251587,-8987.39093970729,-642.812703655793,1145.28724171979,1668.09745053762,1509.76547720678
-1203135.57813928,-1248115.34906833,-1225537.24507556,-838328.767384506,122394.996200309,122943.577696284,118758.002273631,80528.7661957633
-145838.894987663,-248438.259835602,-517438.362300562,252586.318524238,44472.0983632238,78893.0654285477,167881.000619036,-81988.7049809481
-12447.622451349,-12045.5720033308,-11594.196036479,-9282.40035519424,-33123.4188344878,-30327.368722344,-29073.5593532676,-28055.2780858698
64996.6891154189,85576.1831285066,96177.7174629179,103650.919849014,-113.251308059412,134.717346266659,374.204377020712,1587.18083834393
196342.366965753,-1076985.86280152,-248913.124936873,-62431.5967450424,-448267.735750044,1838258.95777107,387324.010698255,101167.021583291
122859.344366588,115504.853538183,111322.0811086,100295.395595607,-750.986022045379,-837.315365016579,-852.519027295043,-765.957386611727
13337.4062109846,11273.4011952385,10434.9633209146,10498.3150940879,102.954989396992,9.27345037223232,-37.4443107849525,-169.827431158055
285379.63143011,293642.667358831,302542.190488651,306276.958066644,17000.8147545536,17292.8240644308,17823.9942489865,18690.5178699621
126926.17705354,129441.397724286,129007.255625731,119185.882344584,94412.3733978039,93176.4438566809,92042.679066728,87313.1736096107
874284.284664384,1298195.84059266,1954237.69921715,-1678672.06022177,275112.533121189,392730.743474039,579427.779681411,-483597.415747689
52900.5537606699,52640.869634658,52425.1098650627,52637.0072709217,-1371.06434790157,-1412.85096801812,-1446.64357041003,-1651.51888979279
45399.8770862606,47548.6430307991,48281.1039436963,46021.0039877873,616.222509447705,669.302360920289,713.593564608374,858.638756902913
230174.021531704,242654.050404901,251263.200345257,273372.970623769,31195.4300047865,33055.1452891362,34317.6362616483,37877.1804831881
214138.777749612,227358.556319758,234353.426558042,240169.110317603,337.696426700046,629.790013838558,816.670144166474,1428.32058936569
-2706.31065441535,-5535.89163070672,-6451.88485245039,-5767.59353999834,-9114.18876457946,-9218.42886598908,-9264.81620130143,-9478.52714125856
261969.322833835,250233.00659589,243240.592795445,230150.600342335,-4372.77771201479,-4462.75854214792,-4567.95105984394,-5058.13307533162
-87345.5820849274,-83454.6632325785,-83117.7383858959,-85782.0296079582,-2942.67798714313,-2770.90418576872,-2678.75646554771,-2013.76735961854
28908.3600906438,25481.3683886768,24404.7506793171,26274.0214418464,-69299.7035945551,-68410.8832011539,-67181.2404693783,-66935.8445499229
20055.9201440086,25709.8257918997,27454.2611734005,21233.9375736654,-54521.840333664,-57923.7375557828,-59882.8142754723,-62354.6055254636
125965.35813017,127754.530692618,122138.730621769,82811.7905838037,-3179.35937642871,-2215.41224367164,-1870.77966235493,-1295.18261360251
304857.209271854,281081.449400685,272026.616068087,274689.071480735,-7904.01797195627,-7565.72470678466,-7484.37170220916,-7969.91821010127
115079.834136342,108440.989701151,104506.530918882,94422.5293002738,10150.9567330886,9320.22859084925,8903.11420547607,7890.17148842704
377385.011343667,330244.246036352,303923.690766912,233216.558183207,-13692.7786035983,-18132.3606802226,-19690.9877372264,-18597.147555432
-44286.1168349737,-55458.5823911281,-59599.4442208809,-60268.5010657393,-24469.4547029579,-23385.6561897971,-23006.563755612,-23672.7019608583
108701.406780463,116467.127220304,120399.95092952,125917.914687248,-6935.52261357281,-5610.89650912298,-5043.4404954665,-4528.67748971376
103415.558535335,102438.957823869,100830.286183887,91589.6927824545,-387.227943632946,430.912480693822,709.459148802131,727.458261856268
-197581.215246352,-208495.53348459,-216390.856685126,-245279.915956072,20643.8865030064,22037.5355053092,22657.7533430077,24979.1629302819
47178.1474766505,53445.5763217985,58067.1716826628,72438.7763731259,-10975.1821634159,-12769.2167540151,-13895.8078427617,-17368.8884829217
13453.7736995513,12168.1608060694,11630.4305200376,11449.9231659531,70.6236540151369,-408.151187446788,-583.208651385509,-939.400270396974
62436.9802211087,73229.3984464977,80362.3044972598,102178.460327258,-43310.3700074721,-49346.2222848743,-53800.9261459865,-71769.669647792
291107.932274881,296152.087971691,309978.399798256,390553.940514351,-24131.0339680368,-26571.3684674794,-28801.7025087892,-38130.1672546375
101002.501355699,96477.2774821782,94377.8549903107,92498.4347000724,3737.46246149309,3392.52695188112,3228.32076110104,3014.67857220028
15615.1548929511,15110.3747910537,14723.635157437,14268.834248763,497.555648994601,503.051715057923,509.287647556119,547.474807352062
-78859.8375464174,-83846.2787558091,-85809.167312742,-78409.4173588272,-28522.9447740786,-26951.2025596186,-25649.5309605236,-20723.888540339
141892.142506025,122078.846798995,110594.784377709,85296.4664447551,-15501.8513422857,-13360.0439147032,-12203.6134814367,-9626.25296889799
-164737.542800723,-160488.483277446,-157927.288270692,-147611.928702356,-127598.543472869,-122565.463513829,-119801.046622636,-111626.940013779
-22563.4855634639,-13482.0869882093,-12312.1640760554,-16460.1362277705,97007.640103597,70955.372172055,60279.1926252287,40585.2094251294
92700.728004704,101385.231924227,106152.704066776,113586.168966959,-9294.83328555043,-9259.66356628754,-9377.35896361096,-9898.72312831281
381274.851750357,196835.953750027,143587.476046502,78810.566218509,-1135701.35480361,-604575.979386635,-460846.56693421,-378753.875737661
77074.4991807571,49393.9621791043,37621.7273052134,27453.0934226527,-281.68434649187,-301.683726336731,-347.850627911435,-442.511049131083
5222.27821287634,-2802.94557879551,-6569.16814369826,-7932.21370635007,-2625.58558768427,-2492.07454213007,-2446.3382976746,-2431.22301298794
-24035.067968041,-25140.1890178059,-25831.9837006703,-28870.6686027551,-8767.94664404024,-9365.76706204939,-9833.67016004331,-11304.5116824101
69046.9031177521,70401.8713823862,70624.9010269546,62580.7729694413,6255.29544550711,6284.51296322391,6344.64996521827,5862.64983584957
115029.737549896,91833.572626772,80393.4132740644,59554.6706544324,21417.5085902328,18457.5506405177,16807.0181585132,12871.8782762204
226768.287964953,228676.754982513,228763.474610885,218833.180170711,-19082.3735078478,-18782.2855618094,-18622.3023266881,-17601.5159748511
-11399.817247614,-10731.7236538693,-10983.0965013102,-12383.3614553491,-15678.5991727422,-15207.7255109791,-14911.3559862263,-13461.2782588001
26103.2158245975,31126.4198968037,33101.4346956776,31668.0675320401,30152.0872898333,32555.8811502014,34137.5956841677,35820.0046313794
105627.504298472,123089.510092208,134861.851510985,188082.150709369,-38656.5166374679,-42770.7946226719,-46111.3897631082,-66626.08396394
194019.682013976,202329.324306405,206886.864130806,224258.09050955,19542.759159972,19746.2674795236,19928.2133477765,21560.3812400189
171862.29160518,162718.739826019,156232.346318077,124268.431564868,425.722519690357,84.0231492889687,-16.5217869009154,6.42655842778616
81716.1201579508,73788.603808109,69627.7377031896,60277.5847050528,-4670.622501447,-5107.86426201447,-5263.5902823781,-5101.86045683748
254736.1687859,303713.186442628,334433.134314036,374176.058557992,7128.09705039064,8055.49447951022,8907.42444206906,12032.4099760505
29264.7900777398,-71967.0689638214,-151619.836496443,-250155.055289327,-33941.2272448101,-61928.5474470063,-82635.1744242334,-103057.325165604
-2671.12536025717,-6991.8786633981,-9811.31561779597,-13616.4425765241,36880.2986754731,34254.404300318,33187.8204723127,30481.6079833546
250785.007064706,299874.933732731,347528.19950769,619561.987906207,-39512.9053816006,-46533.2695430615,-53327.6090538828,-90805.6607653618
-17892.2284274844,-28264.5003139417,-31392.6437941646,-26199.3990248741,-29532.0429245086,-29598.96597976,-28452.6712005416,-22689.2843867262
50126.1520695044,42306.9956710391,38867.9410552014,34707.2322019624,-809.453363329196,-2972.69801536627,-3792.80294086415,-4392.67944443481
97717.5430727185,91990.4640372783,88209.7638458404,76095.051989605,3208.37367495816,2821.19877443621,2575.90966139426,1989.67491930797
226137.479553721,238782.591406816,244219.0996889,247248.036926965,21762.2582112578,21709.3834932747,21861.719554357,22809.1595015866
128655.308326334,116177.42158446,109271.13455285,94268.8077588222,-6526.31164038783,-6704.11582645681,-6693.85263584138,-6310.61966492544
57185.9912996715,69546.0094602684,76155.3491723874,89566.7952155247,-1106.51658928319,-295.195290834338,131.083366867408,966.674833130216
28637.9193381328,27526.9010629398,26958.1104348071,25607.964075327,-21848.0405637618,-20976.5176235054,-20453.5344966345,-19149.2370934275
-378327.630435228,-446881.569058279,-506420.400259059,-5956498.91303598,-83679.6938972595,-98944.9658278944,-112512.916041501,-1332934.69051628
104999.688557761,106290.854310215,107527.681677969,115484.936639288,-4680.91082838862,-4779.39069742859,-4779.25545386506,-4740.51156553126
39178.1892613762,37541.557434193,35955.7716280932,29022.4360472193,-9914.26989753235,-10310.984852446,-10391.3634450251,-9418.57194233795
35820.6515410229,22968.3978248506,18397.9965986874,17784.532949739,-38562.1202321104,-36833.9990150446,-35255.3397060272,-31203.0943988068
96948.45759856,99757.7108966794,101888.390652777,107490.847493733,-20682.104395139,-21503.3540789439,-21899.5054171767,-22626.7800831195
123783.112668557,132414.947901392,137441.132257652,145210.575322514,-5340.04435327748,-5402.33855272147,-5483.79162468282,-5638.06510824924
48883.3220242454,45509.8157952869,43954.9198389319,41780.1288441407,-14635.4758607788,-14808.7088781087,-14751.1340590116,-14029.441872962
239688.689327978,286840.570287517,320820.743827112,465337.293910271,1823.91356092414,2089.54631012991,2412.67100106565,4897.32719031988
210102.1675044,209477.188620276,210036.460641714,225622.345281496,15347.8915435032,14970.801093274,14870.8841838641,15787.9781764998
241756.918902261,215861.110662108,196588.358692763,139511.617181102,-19266.210521385,-21860.7013369134,-21980.5789576694,-18146.1236715735
99438.0995635421,101488.082256815,101201.379581933,88066.2474268339,-36689.614164204,-36276.5631937889,-35880.9036285682,-31118.9168346697
87090.7775678031,88549.1096171947,89506.8610020083,90107.1202352059,-9964.66525933155,-10947.0837484969,-11525.2859056061,-12564.4051961438
645604.863022915,478186.497826118,415109.86222664,296725.910192352,-9619.85965676276,-8907.09582395537,-8694.05048268656,-7848.32656887979
532957.38206878,601321.516521724,655720.176753183,1080361.50081619,109995.898170881,121587.040196976,131380.742714904,213956.456132029
86448.978323653,89853.1317883715,91390.2145795446,90887.016831374,-1151.09235446354,-424.747170013697,-138.567355556617,64.4023835270902
49545.4895299784,39074.1033610493,34336.1115277887,28100.8223939709,-131853.773198549,-109933.903462591,-98845.7639968513,-81152.6709248639
148233.510382592,143352.643798031,142117.061004814,144965.128985916,-5228.37642798462,-5745.12122925356,-5926.77495638702,-6138.04218488429
142373.020494815,159886.059758546,169187.546172276,183545.338027557,5998.60579110699,6628.82550321782,7101.44067025298,8830.723589519
115365.306360413,131007.814812856,141709.492479036,174022.705484792,-20710.5775135278,-21565.2064602121,-22401.45834329,-25614.2697519035
-2226.12430261363,-17694.8338534808,-22255.8619247013,-20169.3892641282,-33524.3453779142,-32510.7272483761,-31682.7527303536,-29685.9381130088
89657.3212154803,83687.3444261746,82022.4669983531,95303.2251577768,-3379.76782640274,-4760.93672348342,-5121.79722573212,-5269.45957393478
232961.429845489,184470.44331547,162176.87199853,137361.44387855,9954.0166696283,7835.33619547575,6659.97455368225,4230.68531875992
193052.186374282,183654.065749718,177908.601963911,159303.382761074,-132396.111277848,-123627.970558887,-118550.385172689,-102717.74591171
353433.898734838,454216.56240211,566295.863078996,2190493.71062446,10494.6534706365,13151.2771488297,16665.4354407273,77869.9742559276
210943.29932901,221099.502877793,226919.619047529,222187.318211839,-29730.1974882333,-29510.9867896242,-29793.4010675307,-29865.9779282857
-101368.424714112,-104505.628603348,-109705.045193352,-170200.353362486,-49012.0144789035,-54939.7408944783,-59776.824307346,-94814.9253653228
90155.1702372738,73911.8642786189,66863.5702810703,61534.7571026149,-19684.5085784175,-18747.4963641359,-18146.1981249322,-17121.982271255
999808.058188654,1082323.85767532,1163786.67584651,693631.031546539,-31564.3300184717,-39106.682171959,-43067.0997520058,-21514.0799539506
71435.9292438157,78645.1855077962,85541.888878891,126141.602520469,4038.87140304232,4527.21113043372,4991.59092305895,7946.08469323739
151216.858127165,168765.146542725,178863.502853968,188610.75153737,8070.3398213324,8588.59635882146,9019.3350307957,10238.1627234869
191692.354216845,162168.492786369,145453.15509203,113661.55306318,-1215.62462982804,-1392.10624991629,-1413.52138069121,-1381.32596199892
59656.8816648822,66714.4619170634,69602.5085648937,65734.0397986158,-7058.84502728104,-6151.81664481425,-5724.10562891656,-4466.56309897064
71272.3593921839,73892.5277224318,75264.0010233319,77513.6790044372,30372.9971493867,30819.3939319014,31102.2450899463,31925.6498475313
15149.6968722618,13392.1731617131,12424.1300636252,11216.3619140344,-268.998321363333,-368.046799058826,-414.501042580196,-497.472545911881
104557.848001394,90434.8748502623,82961.4315222978,69157.0871333564,9560.86787599805,8750.02055768534,8245.15685708117,6742.4828984663
130620.349946701,125537.147878594,121454.617451681,114207.501507859,17430.0547533594,17093.2875511851,16762.5833265551,15757.6198082078
-29632.9620893957,-37784.4795368344,-39546.8165187204,-33354.9251826812,-2220.45845889345,-4839.21136761199,-5756.16798623535,-5707.75806133743
16930.9018199983,16993.2643661793,17538.9708048682,18935.2176375133,-8351.01962673693,-8366.33967089151,-8384.91636201066,-8277.5058738851
139972.835888819,120913.313842302,111454.276320028,91789.2689161056,-112276.167769015,-94204.8067246503,-84991.3482899865,-67620.9425054402
14537.2213466769,17079.3505025726,18498.7721255876,20905.5949090093,-748.916688173388,-403.249683936235,-274.636055392018,-93.614177716389
33301.6578998182,34246.8829255922,34397.8588462881,32686.787024851,-18124.0657372367,-17996.5376828009,-17956.036409511,-17292.6693608372
120317.300551504,119756.172576094,119441.732147859,130566.825790652,35356.1882891027,32645.4375927924,31002.2560619999,30393.1444783961
26949.3115124705,30289.5739183877,32822.364715898,41497.3905549415,-25963.2759378795,-26742.8005588069,-27612.954922475,-32975.6479199105
42031.825049276,74306.7086348468,97223.7607580002,205091.656925141,15145.4529058313,19850.0593138504,23701.2875154912,48937.8183019703
530267.23433427,577933.983344272,609031.322058926,631492.286857608,-47553.9965718254,-51965.4183442731,-55072.5894722807,-59273.0291293736
316797.027573521,295220.24011638,281876.771523571,264144.969520252,1878.14978541407,1425.51567642137,1121.43964769711,166.500161587197
132294.809436136,133431.243318909,133261.864315095,134908.529893214,-14193.0528097422,-14241.5055518939,-14203.6204277478,-14651.3481214235
53590.8774818385,48385.7633044055,46143.6500303834,44085.4522956925,-5200.6021987456,-5226.66471175477,-5280.44171586167,-5559.69654541355
31481.7668045426,23624.6813710521,19841.5768198188,16758.8391387905,-16760.6501509488,-16118.4096801978,-15361.3834901156,-12432.47311329
109415.646298657,117042.140175676,120619.105538572,117345.247263337,-27150.8006475991,-29482.2726684854,-30593.1320314463,-28954.8742493284
16457.4396333612,37018.4961180566,47720.7259121963,55214.2332885639,-4.16123183248092,294.739106350211,556.549016963529,1510.2039623394
110883.785473413,104863.869137636,99725.2936286362,85963.386820858,-12205.9007969018,-11016.265662944,-10307.6044681911,-8888.16988698773
112913.464156852,116937.26684477,119129.58375656,124818.671630594,-10064.9101548692,-9967.33597390648,-9987.56473974331,-10677.3704743013
