,BUP_shape_1,MET_shape_1,REL_shape_1,ABS_shape_1,BUP_scale_1,MET_scale_1,REL_scale_1,ABS_scale_1,BUP_shape_2,MET_shape_2,REL_shape_2,ABS_shape_2,BUP_scale_2,MET_scale_2,REL_scale_2,ABS_scale_2,BUP_shape_3,MET_shape_3,REL_shape_3,ABS_shape_3,BUP_scale_3,MET_scale_3,REL_scale_3,ABS_scale_3
pe,0.574987187,0.527182281,0.809539341,0.863977697,0.439915327,0.295720671,0.157620446,0.091513031,0.620174015,0.550870025,0.827039642,0.813908333,0,0,0,0,0.609762293,0.534822271,0.858595826,0.914635435,0,0,0,0
sd,0.003453282,0.002723856,0.003612612,0.021492424,0.005868821,0.003907764,0.00233442,0.008682241,0.005074143,0.003477454,0.004230765,0.025100451,0,0,0,0,0.003601327,0.003477454,0.002563078,0.021394569,0,0,0,0
low,0.568258558,0.521870562,0.802489627,0.822863747,0.451458242,0.303419991,0.162233439,0.109540802,0.610308193,0.544096331,0.818788926,0.766169648,0,0,0,0,0.602744517,0.530872252,0.853586953,0.873649552,0,0,0,0
high,0.581795489,0.532548064,0.816650986,0.907145885,0.428452462,0.288101557,0.153082511,0.075506418,0.63019932,0.557728047,0.835373497,0.864621531,0,0,0,0,0.616861777,0.538801681,0.863634091,0.957544105,0,0,0,0
