"","1","2","3"
"MET_NI_1_NEG",0.00099262151979656,0.00111114669256225,0.00129576341970543
"METC_NI_1_NEG",0.00499434970959054,0.00558929393198972,0.00651538942594705
"BUP_NI_1_NEG",0.00099262151979656,0.00111114669256225,0.00129576341970543
"BUPC_NI_1_NEG",0.00499434970959054,0.00558929393198972,0.00651538942594705
"ABS_NI_1_NEG",0.000147159097080377,0.000164739584701769,0.000192126969928982
"REL_NI_1_NEG",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODN_NI_1_NEG",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODF_NI_1_NEG",0,0,0
"MET_INJ_1_NEG",0.00364682442294766,0.00408159427508744,0.00475850854917283
"METC_INJ_1_NEG",0.0182453970384678,0.0204016770445993,0.0237509144620355
"BUP_INJ_1_NEG",0.00364682442294766,0.00408159427508744,0.00475850854917283
"BUPC_INJ_1_NEG",0.0182453970384678,0.0204016770445993,0.0237509144620355
"ABS_INJ_1_NEG",0.000541298782569348,0.000605950455790462,0.000706660278158829
"REL_INJ_1_NEG",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODN_INJ_1_NEG",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODF_INJ_1_NEG",0,0,0
"MET_NI_2_NEG",0.00099262151979656,0.00111114669256225,0.00129576341970543
"METC_NI_2_NEG",0.00499434970959054,0.00558929393198972,0.00651538942594705
"BUP_NI_2_NEG",0.00099262151979656,0.00111114669256225,0.00129576341970543
"BUPC_NI_2_NEG",0.00499434970959054,0.00558929393198972,0.00651538942594705
"ABS_NI_2_NEG",0.000147159097080377,0.000164739584701769,0.000192126969928982
"REL_NI_2_NEG",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODN_NI_2_NEG",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODF_NI_2_NEG",0,0,0
"MET_INJ_2_NEG",0.00364682442294766,0.00408159427508744,0.00475850854917283
"METC_INJ_2_NEG",0.0182453970384678,0.0204016770445993,0.0237509144620355
"BUP_INJ_2_NEG",0.00364682442294766,0.00408159427508744,0.00475850854917283
"BUPC_INJ_2_NEG",0.0182453970384678,0.0204016770445993,0.0237509144620355
"ABS_INJ_2_NEG",0.000541298782569348,0.000605950455790462,0.000706660278158829
"REL_INJ_2_NEG",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODN_INJ_2_NEG",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODF_INJ_2_NEG",0,0,0
"MET_NI_3_NEG",0.00099262151979656,0.00111114669256225,0.00129576341970543
"METC_NI_3_NEG",0.00499434970959054,0.00558929393198972,0.00651538942594705
"BUP_NI_3_NEG",0.00099262151979656,0.00111114669256225,0.00129576341970543
"BUPC_NI_3_NEG",0.00499434970959054,0.00558929393198972,0.00651538942594705
"ABS_NI_3_NEG",0.000147159097080377,0.000164739584701769,0.000192126969928982
"REL_NI_3_NEG",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODN_NI_3_NEG",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODF_NI_3_NEG",0,0,0
"MET_INJ_3_NEG",0.00364682442294766,0.00408159427508744,0.00475850854917283
"METC_INJ_3_NEG",0.0182453970384678,0.0204016770445993,0.0237509144620355
"BUP_INJ_3_NEG",0.00364682442294766,0.00408159427508744,0.00475850854917283
"BUPC_INJ_3_NEG",0.0182453970384678,0.0204016770445993,0.0237509144620355
"ABS_INJ_3_NEG",0.000541298782569348,0.000605950455790462,0.000706660278158829
"REL_INJ_3_NEG",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODN_INJ_3_NEG",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODF_INJ_3_NEG",0,0,0
"MET_NI_1_HIV",0.00099262151979656,0.00111114669256225,0.00129576341970543
"METC_NI_1_HIV",0.00499434970959054,0.00558929393198972,0.00651538942594705
"BUP_NI_1_HIV",0.00099262151979656,0.00111114669256225,0.00129576341970543
"BUPC_NI_1_HIV",0.00499434970959054,0.00558929393198972,0.00651538942594705
"ABS_NI_1_HIV",0.000147159097080377,0.000164739584701769,0.000192126969928982
"REL_NI_1_HIV",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODN_NI_1_HIV",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODF_NI_1_HIV",0,0,0
"MET_INJ_1_HIV",0.00364682442294766,0.00408159427508744,0.00475850854917283
"METC_INJ_1_HIV",0.0182453970384678,0.0204016770445993,0.0237509144620355
"BUP_INJ_1_HIV",0.00364682442294766,0.00408159427508744,0.00475850854917283
"BUPC_INJ_1_HIV",0.0182453970384678,0.0204016770445993,0.0237509144620355
"ABS_INJ_1_HIV",0.000541298782569348,0.000605950455790462,0.000706660278158829
"REL_INJ_1_HIV",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODN_INJ_1_HIV",0.0333940377788942,0.0373043577057664,0.0433628359941555
"ODF_INJ_1_HIV",0,0,0
"MET_NI_2_HIV",0.00099262151979656,0.00111114669256225,0.00129576341970543
"METC_NI_2_HIV",0.00499434970959054,0.00558929393198972,0.00651538942594705
"BUP_NI_2_HIV",0.00099262151979656,0.00111114669256225,0.00129576341970543
"BUPC_NI_2_HIV",0.00499434970959054,0.00558929393198972,0.00651538942594705
"ABS_NI_2_HIV",0.000147159097080377,0.000164739584701769,0.000192126969928982
"REL_NI_2_HIV",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODN_NI_2_HIV",0.00919551888472478,0.0102881843510941,0.0119878775398172
"ODF_NI_2_HIV",0,0,0
