,BUP_2,MET_2,REL_2,ABS_2,BUP_3,MET_3,REL_3,ABS_3,BUP_INJ,MET_INJ,REL_INJ,ABS_INJ,BUPC,METC
pe,1.130509118,1.136046162,1.141489922,1.069408581,1.309468671,1.568765718,1.557726853,1.160740656,1.304769313,1.055677977,0.790422196,1.686389026,1.632205485,1.375711685
sd,0.015036612,0.008480588,0.008887141,0.049897145,0.011203808,0.006192119,0.006502296,0.038770709,0.276150585,0.229035483,0.227893407,0.335064132,0.266026404,0.255607611
