,BUP_shape_1,MET_shape_1,REL_shape_1,ABS_shape_1,BUP_scale_1,MET_scale_1,REL_scale_1,ABS_scale_1,BUP_shape_2,MET_shape_2,REL_shape_2,ABS_shape_2,BUP_scale_2,MET_scale_2,REL_scale_2,ABS_scale_2,BUP_shape_3,MET_shape_3,REL_shape_3,ABS_shape_3,BUP_scale_3,MET_scale_3,REL_scale_3,ABS_scale_3
pe,0.801521272,0.532094165,0.643357291,0.7157623,0.262652429,0.329693251,0.258121259,0.136414812,0.826145343,0.54642381,0.64578849,0.732407204,0,0,0,0,0.844950957,0.547984746,0.691583995,0.704242035,0,0,0,0
sd,0.005548237,0.0032585,0.002726468,0.0171919,0,0,0,0,0.006642732,0.003892409,0.003067908,0.021337985,0,0,0,0,0.003211812,0.003892409,0.001273745,0.011695124,0,0,0,0
low,0.790720362,0.525745797,0.638035643,0.682847625,0.272814413,0.339594305,0.264203184,0.15920656,0.813227881,0.538847837,0.639803409,0.691757159,0,0,0,0,0.838679312,0.54475365,0.689092002,0.681689037,0,0,0,0
high,0.812469719,0.538519189,0.648723324,0.75026353,0.252668097,0.3199026,0.252104732,0.115650532,0.839267989,0.554106297,0.65182956,0.775445986,0,0,0,0,0.851269501,0.551235006,0.694085,0.727541177,0,0,0,0
