,u_BUP_NI_NEG,u_BUPC_NI_NEG,u_MET_NI_NEG,u_METC_NI_NEG,u_REL_NI_NEG,u_ODN_NI_NEG,u_ODF_NI_NEG,u_ABS_NI_NEG,u_BUP_INJ_NEG,u_BUPC_INJ_NEG,u_MET_INJ_NEG,u_METC_INJ_NEG,u_REL_INJ_NEG,u_ODN_INJ_NEG,u_ODF_INJ_NEG,u_ABS_INJ_NEG
pe_eq_5d_5l,0.766163393,0,0.773363456,0,0.745271358,0.745271358,0,0.710826095,0.766163393,0,0.773363456,0,0.745271358,0.745271358,0,0.710826095
pe_reduced_eq_5d_5l,0.769416308,0,0.769416308,0,0.745315605,0.745315605,0,0.71074513,0.769416308,0,0.769416308,0,0.745315605,0.745315605,0,0.71074513
pe_low,0.734190629,0,0.738363845,0,0.725713352,0.725713352,0,0.664704051,0.734190629,0,0.738363845,0,0.725713352,0.725713352,0,0.664704051
pe_high,0.798136157,0,0.808363066,0,0.764829363,0.764829363,0,0.756948138,0.798136157,0,0.808363066,0,0.764829363,0.764829363,0,0.756948138
pe_eq_5d_3l,0.753356309,0,0.747828975,0,0.741882885,0.741882885,0,0.721819817,0.753356309,0,0.747828975,0,0.741882885,0.741882885,0,0.721819817
pe_hui_3,0.658722858,0,0.692578984,0,0.62015115,0.62015115,0,0.615592745,0.658722858,0,0.692578984,0,0.62015115,0.62015115,0,0.615592745
pe_odn_low,0.768623403,0.771650411,0.76173988,0.729009144,0.750860875,0.5,0,0.710881741,0.768623403,0.771650411,0.76173988,0.729009144,0.750860875,0.5,0,0.710881741
