,c_BUP_NI_crime,c_BUPC_NI_crime,c_MET_NI_crime,c_METC_NI_crime,c_REL_NI_crime,c_ODN_NI_crime,c_ODF_NI_crime,c_ABS_NI_crime,c_BUP_INJ_crime,c_BUPC_INJ_crime,c_MET_INJ_crime,c_METC_INJ_crime,c_REL_INJ_crime,c_ODN_INJ_crime,c_ODF_INJ_crime,c_ABS_INJ_crime
pe_base,4326,0,45,0,2369,2369,0,630,4326,0,45,0,2369,2369,0,630
pe_low,2163,0,22.5,0,1184.5,1184.5,0,315,2163,0,22.5,0,1184.5,1184.5,0,315
pe_high,6489,0,67.5,0,3553.5,3553.5,0,945,6489,0,67.5,0,3553.5,3553.5,0,945
pe_reduced,1045,0,1045,0,2249,2249,0,414,1045,0,1045,0,2249,2249,0,414
pe_alt,1404,0,1404,0,8457,8457,0,1107,1404,0,1404,0,8457,8457,0,1107
