,BUP_TX,MET_TX,OD_TX,BUP_NI_HRU,BUPC_NI_HRU,MET_NI_HRU,METC_NI_HRU,REL_NI_HRU,OD_NI_HRU,ABS_NI_HRU,BUP_INJ_HRU,BUPC_INJ_HRU,MET_INJ_HRU,METC_INJ_HRU,REL_INJ_HRU,OD_INJ_HRU,ABS_INJ_HRU,HIV_HRU,HIV_ART,HCV_HRU,HCV_DAA,OD_NX,OD_AMB
pe,322.818,579.2475,0,133,0,115,0,85,85,46,133,0,115,0,85,85,46,558.6666667,1576,891.6190324,15770.55556,125,518.25
sd,10,20,0,30.71428571,0,27.19387755,0,10.30612245,27.19387755,14.26020408,30.71428571,0,27.19387755,0,10.30612245,27.19387755,14.26020408,7.993197279,5.612244898,15.66815857,4075.255102,5,50
shape,1042.114611,838.8191656,0,18.75091401,0,17.8835365,0,68.02166454,9.770022775,10.40552942,18.75091401,0,17.8835365,0,68.02166454,9.770022775,10.40552942,4884.998733,78856.80894,3238.342238,14.97560532,625,107.433225
scale,0.30977207,0.690551103,0,7.092987571,0,6.430495446,0,1.249601882,8.700082074,4.420726532,7.092987571,0,6.430495446,0,1.249601882,8.700082074,4.420726532,0.114363728,0.019985592,0.275331934,1053.083012,0.2,4.823926676
