,BUP_shape_1,MET_shape_1,REL_shape_1,ABS_shape_1,BUP_scale_1,MET_scale_1,REL_scale_1,ABS_scale_1,BUP_shape_2,MET_shape_2,REL_shape_2,ABS_shape_2,BUP_scale_2,MET_scale_2,REL_scale_2,ABS_scale_2,BUP_shape_3,MET_shape_3,REL_shape_3,ABS_shape_3,BUP_scale_3,MET_scale_3,REL_scale_3,ABS_scale_3
pe,1.254730831,1.281905646,1.306121209,1.228638051,0.57751871,0.577391587,0.499578118,0.596675049,,,,,,,,,,,,,,,,
sd,0.094453328,0.103069284,0.054752425,0.134091396,0.083399696,0.090187042,0.044081818,0.119557645,,,,,,,,,,,,,,,,
low,1.082614957,1.095006642,1.203098617,0.992031179,0.743789007,0.757755489,0.587553089,0.835376929,,,,,,,,,,,,,,,,
high,1.454209965,1.50070513,1.417965734,1.521677436,0.416862198,0.404222283,0.414752361,0.366710962,,,,,,,,,,,,,,,,
