,BUP,BUPC,MET,METC,REL,ABS
pe,4326,0,45,0,2369,630
sd,3759.795918,0,29.51530612,0,469.1836735,648.0612245
shape,1.323867394,0,2.324504781,0,25.4943732,0.945037462
scale,3267.698878,0,19.35896212,0,92.92246494,666.6402392
