,BUP,BUPC,MET,METC,REL,ODN,ODF,ABS,HIV_mult,HCV_mult,COI_mult
pe,0.750866881,0,0.750866881,0,0.74185015,0.54,0,0.721877299,0.78,0.72,0.71
sd,0.012028412,0,0.012028412,0,0.009662765,0.046428571,0,0.022759631,0.16,0.16,0.16
low,0.727291193,0,0.727291193,0,0.72291113,0.449,0,0.677268422,0.4664,0.4064,0.3964
high,0.774442569,0,0.774442569,0,0.76078917,0.631,0,0.766486175,1,1,1
