,BUP,BUPC,MET,METC,REL,ODN,ODF,ABS,HIV_mult,HCV_mult,COI_mult
pe,0.746978702,0.735723287,0.746978702,0.735723287,0.753572032,0.54,0,0.720948428,0.78,0.72,0.71
sd,0.011592482,0.011614414,0.011592482,0.011614414,0.016112291,0.046428571,0,0.022759741,0.16,0.16,0.16
low,0.724257438,0.712959035,0.724257438,0.712959035,0.721991942,0.449,0,0.676339336,0.4664,0.4064,0.3964
high,0.769699966,0.75848754,0.769699966,0.75848754,0.785152122,0.631,0,0.765557521,1,1,1
