"","Alive","Death","ODN","ODF","REL","BUP","BUPC","MET","METC","ABS"
"0",0,1.11022302462516e-16,0,0,0,1,0,0,0,0
"1",0,0.000143334515837368,0.0564070787089493,0.00424198099085642,0.0235738541881126,0.844912189031907,0.0235738541881126,0.0117869270940563,0.0117869270940563,0.0235738541881126
"2",0,0.000309465420155419,0.043204950626725,0.00649958281707294,0.055322287369669,0.777764144214856,0.0362272469948777,0.0209510028676916,0.0209752170687198,0.0387461026202326
"3",0,0.000479722671816729,0.0364083739020587,0.00846220773011106,0.077469370110853,0.727168499346368,0.0450578246119851,0.0274720485877834,0.0275275738299706,0.0499543792090537
"4",0,0.000653477964206339,0.0321786816311275,0.0102271978724732,0.0949227185271512,0.685874103608492,0.0518407382332017,0.0326545726939665,0.0327418179867311,0.0589066914826503
"5",0,0.000830307880609782,0.022107026848346,0.0113113779229895,0.111343605479037,0.65077424348149,0.0592753077982527,0.0379652751224571,0.0380837340062555,0.0683091214605627
"6",0,0.00100805877796106,0.0192938423019857,0.012362012253354,0.122671305926154,0.619837990012288,0.0647983939629615,0.04200400392775,0.0421499325840446,0.0758744602535011
"7",0,0.00118764672835825,0.0175759019765875,0.0133347959810258,0.132225564151826,0.592503170264173,0.0694503167912912,0.0455607946452321,0.0457286114025656,0.0824331980589402
"8",0,0.00136896887657034,0.0164432289911641,0.0142538965647488,0.140527507306886,0.568048197845201,0.0734537323935185,0.0487531571098988,0.0489396322881951,0.0882116786238168
"9",0,0.00155189840919112,0.015617661496836,0.0151316301968263,0.147897820797032,0.545962810606649,0.076955708850269,0.0516604528994688,0.0518632927235125,0.0933587240202148
"10",0,0.00173630362592792,0.0149111116566077,0.0159712603302315,0.154539278463729,0.525877803987466,0.0800621497845637,0.0543449409217775,0.0545618031188496,0.0979953481108472
"11",0,0.00192204280287289,0.0143773112650071,0.0167836269919382,0.160547437314283,0.507479805294209,0.0828289922643601,0.0568261118143645,0.0570555652524495,0.102179107000516
"12",0,0.00210901627814464,0.0139451567954237,0.0175731766509358,0.166034718131863,0.490539643175713,0.0853141726382534,0.0591352515364503,0.0593761294797231,0.105972735313493
"13",0,0.00229918805977247,0.0135836940774735,0.0183433472187094,0.171075665248473,0.474870675794894,0.0875606900442458,0.0612949020727124,0.0615462409292788,0.109425596554441
"14",0,0.00249042607514749,0.0132740924436154,0.0190967372301949,0.175728648197913,0.460321680436,0.0896027830990886,0.0633231947075738,0.0635841774389132,0.112578260371553
"15",0,0.0026826522139729,0.0130037114986068,0.0198353479267008,0.180039359608821,0.446766656088282,0.0914680348559434,0.0652349014815441,0.0655048177835672,0.115464518542562
"16",0,0.00287579535634586,0.0127654593912611,0.0205608827818411,0.184044634359192,0.434099581931929,0.0931788134400258,0.0670420399154099,0.0673202730534342,0.118112519770562
"17",0,0.00306979098908977,0.0125533156610054,0.0212747218777167,0.187775553207931,0.422230636198288,0.0947538273867316,0.068754871554682,0.0690408779773892,0.120546405147166
"18",0,0.00326458013245234,0.0123628031252868,0.0219780191366239,0.191258369796839,0.411082881670257,0.0962087856432367,0.0703821449338042,0.0706754412044341,0.122786974357066
"19",0,0.0034601086541789,0.0121904901387947,0.0226717523680399,0.194515554695341,0.400589863427244,0.0975570021066963,0.0719313922844461,0.072231545116432,0.124852291208828
"20",0,0.00365632668861682,0.0120336841435392,0.0233567595075802,0.197566543049933,0.390693751602466,0.0988098528825792,0.0734091539131371,0.0737157724125456,0.126758155799602
"21",0,0.00385318814330216,0.0118902492472347,0.0240337668589841,0.200428289921873,0.381343882573374,0.0999771256865088,0.0748211484693654,0.0751338781134662,0.128518470985891
"22",0,0.00405065028418694,0.0117584404587692,0.0247034082381494,0.203115707251135,0.372495607600785,0.101067299213781,0.0761724130444622,0.0764909307171229,0.130145543191608
"23",0,0.00424867337381951,0.0116368175976381,0.025366240762026,0.205641993649483,0.364109364099904,0.10208776004011,0.0774674101930642,0.0777914201249273,0.131650320159028
"24",0,0.0044472203617103,0.0115241786782982,0.0260227572054009,0.208018899086221,0.356149922984791,0.103044976887946,0.0787101146712793,0.0790393450742864,0.133042585050067
"25",0,0.00465056405290898,0.0114194316812521,0.0266733923732979,0.210254885757301,0.348584704232385,0.103944314114688,0.0799038272172427,0.0802380263180884,0.134330854252835
"26",0,0.00485437305845615,0.0113218052190587,0.0273185379618258,0.212361462470927,0.341386512062422,0.104791118054105,0.081051989871704,0.0813909257677543,0.135523275533748
"27",0,0.0050586162674392,0.011230554891979,0.0279585459565898,0.214347167365414,0.334529826465111,0.105589853187642,0.0821574911641188,0.0825009487098029,0.136626995991904
"28",0,0.00526326441542424,0.0111450419105368,0.0285937337289986,0.216219738315471,0.327991557715213,0.106344494861186,0.0832229479196034,0.0835707269845051,0.137648494149061
"29",0,0.00546828992632398,0.0110647127485458,0.0292243885318053,0.217986213968661,0.32175074736075,0.107058595201637,0.0842507393104773,0.0846026532762139,0.138593659675586
"30",0,0.00567366677208669,0.0109890846313028,0.0298507712763711,0.219653018219186,0.315788314217974,0.107735338313228,0.0852430354814006,0.0855989099426248,0.139467861145826
"31",0,0.00587937034805164,0.0109177335569376,0.0304731196727588,0.221226032124611,0.310086837548957,0.108377586919316,0.0862018219337658,0.0865614935539249,0.140276004341678
"32",0,0.00608537736170822,0.0108502859434767,0.0310916509617092,0.222710654881166,0.304630370807727,0.108987921822412,0.0871289202215559,0.0874922357314259,0.141022582268819
"33",0,0.00629166573340834,0.0107864110715768,0.0317065642279662,0.224111856506857,0.299404281111794,0.109568675694139,0.0880260058610327,0.0883928211758925,0.141711718617333
