,BUP1_NI,BUP_NI,MET1_NI,MET_NI,REL1_NI,REL_NI,OD_NI,ABS_NI,HIV_NI,HIV_OD_NI,BUP1_INJ,BUP_INJ,MET1_INJ,MET_INJ,REL1_INJ,REL_INJ,OD_INJ,ABS_INJ,HIV_INJ,HIV_OD_INJ
pe,0,0,0,1.332,14.615,3.922,1.3,1,1.25,5.7,0,0,0,2.432432432,26.68918919,7.162162162,4.3,1,1.47,5.7
sd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
