"n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr"
7643.18831751018,16553.7017830631,13302.6524940662,-1385.24688513008,-2318.18851318559,-2713.10422777729,-0.00634661737013864,-0.0557444754230474,-0.112360999881005
4179.03017418527,11094.3987665214,7313.19891243306,-667.744879812573,-1263.97386535864,-1991.90643150306,6.34956768744699e-05,-0.0655523375647156,-0.150292165498263
14364.355067037,26195.4217592335,20504.0746406892,-455.769310838303,-1205.21619909691,-1873.76138613882,-0.00764558117149061,-0.0710971987437663,-0.142047185257294
5007.46162205147,11981.9549132557,9714.11013221345,-1039.74602876185,-1695.4518738663,-2275.97295388964,0.0029349826561158,-0.0597872297805337,-0.147651466542809
25965.3629790348,56542.0331172018,50512.0723601289,-1253.78553070636,-2522.02471903561,-3191.93934379231,0.000617088334661564,-0.0551672135056434,-0.129763907248195
2574.35951237759,3723.82036536426,-140.788965831627,-844.541552413922,-1781.70139250233,-2368.1060214504,-0.00974418710438241,-0.07051133934814,-0.137570986991428
12427.8616589594,29358.7328263254,26033.4445400287,-1451.03176099063,-2699.18183008223,-3395.20988696372,-0.00767307769013981,-0.068880909457147,-0.143994768500236
11131.0694884114,19485.1248618963,15995.0850771545,-1410.87786260426,-2419.23588972696,-2966.04005771314,-0.0118614495787771,-0.0844228090205603,-0.162806838483023
10241.584118528,19791.5501353403,14830.0014445967,-1894.52626935508,-3205.10881441951,-3878.9733057313,-0.0105781948876397,-0.0738766534856103,-0.143445943474527
4955.27700834403,6825.99778374043,4282.20119669946,-1411.42873185863,-2240.75310648837,-2720.2809248569,-0.00645435381091064,-0.0424812362849303,-0.0819649020768223
3452.89752196241,8920.41718906275,3674.92169385025,993.760553166698,2255.85315267908,1257.42999734807,0.0051679173810546,-0.0519478652538057,-0.124271946703433
12975.0100013419,21299.5028518739,16414.7385366386,-436.926380285162,-933.632954568558,-1732.59540246645,-0.00652301603164362,-0.0689467277737488,-0.133711432067473
