,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
pe,0.153,0.153,0.153,0.153,0.11,0.061,0.184,0.184,0.184,0.184,0.091,0.089
sd,0.019515306,0.019515306,0.019515306,0.019515306,0.014030612,0.007780612,0.023469388,0.023469388,0.023469388,0.023469388,0.011607143,0.011352041
low,0.11475,0.11475,0.11475,0.11475,0.0825,0.04575,0.138,0.138,0.138,0.138,0.06825,0.06675
high,0.19125,0.19125,0.19125,0.19125,0.1375,0.07625,0.23,0.23,0.23,0.23,0.11375,0.11125
