,BUP_2,MET_2,REL_2,ABS_2,BUP_3,MET_3,REL_3,ABS_3,BUP_INJ,MET_INJ,REL_INJ,ABS_INJ,BUPC,METC
pe,1.081798995,1.080666648,1.12722637,1.077604173,1.302837244,1.499601543,1.415949245,1.264946421,1.189666403,0.94993346,0.784866015,1.938664954,1.678444466,1.259509547
sd,0.017880658,0.014516845,0.012115007,0.080648565,0.013275878,0.010686303,0.008964743,0.063890256,0.291147217,0.239461077,0.246998274,0.348185573,0.268661115,0.301957891
