"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
40295.8557393655,225837.537507771,412605.496416719,803062.569367632,6183.97210105475,27471.3596387183,49379.4697496027,127390.542720791,34111.8836383107,198366.177869053,363226.026667117,675672.02664684,4657.75188815366,17341.808686896,28497.3211147097,48874.3969925511,1519.31191390746,10093.8362319527,20811.1977537543,78310.070679768,0.677990616219891,3.00360192669587,5.12702239194846,8.98996130716353
102646.635717836,561623.142555152,1003716.86714415,1872309.28599187,7963.37098435021,37313.4366309941,67227.9720361074,169714.379163325,94683.2647334854,524309.705924158,936488.895108042,1702594.90682854,3985.63262882688,14008.48168433,22676.6096660733,38711.7582837038,3970.82355537436,23269.5607512362,44482.1406933045,130807.311596481,0.646462576820543,2.81030651032719,4.77063930528903,8.40672230069344
43328.5225993501,212343.174227102,370442.689340337,667925.029928965,6382.50519041733,27940.5998140535,48884.3902354227,112511.422300739,36946.0174089327,184402.574413048,321558.299104914,555413.607628226,4389.21593635578,15462.5199925748,24516.2035836308,39567.9125408324,1986.40798248717,12442.9358207146,24299.0919904179,72737.0813757726,0.682925066572803,2.95971315402681,4.96590906550104,8.33496674632818
72664.6884890559,423040.938689824,770796.371715285,1439590.88727468,6178.14684299826,27459.6676474782,47893.2766486368,100369.812900369,66486.5416460576,395581.271042346,722903.095066648,1339221.07437431,4318.79180364767,14755.9856661932,23451.9885988402,39318.292369368,1852.4721844754,12668.4141475696,24371.9731532752,60857.0429563155,0.653458805464701,2.85177745758426,4.85345362362483,8.57089739667073
49123.2272109194,271683.08430662,491493.816438274,942123.59434697,5459.90102057997,23631.7425698841,41537.0244972604,91049.1605697492,43663.3261903395,248051.341736736,449956.791941014,851074.43377722,4253.75625929746,15484.5648814639,25723.4565773689,46482.2274142196,1199.17553027598,8110.23132384479,15739.6929515769,44355.8587354562,0.667823650386014,2.92592621729866,5.01599166307889,9.13621184177029
64259.3030699297,358736.173109374,663263.66221575,1373880.27467257,5853.74608446273,27139.4415984591,50031.712791662,130151.84456171,58405.5569854669,331596.731510915,613231.949424088,1243728.43011086,4635.47726847405,19222.1147092497,33721.6801934992,66135.7983605104,1211.32230009893,7880.26556398133,16234.975915739,63799.7111006027,0.656853522824001,2.87599162261676,4.98769900239215,9.65969272785878
45389.8538370395,230547.124074061,399662.444155495,698593.055100652,5955.09741898354,25477.4398736309,43495.0957396212,93248.2075576213,39434.756418056,205069.68420043,356167.348415874,605344.847543031,4116.92792175377,14185.9338504129,22321.6487245233,35329.0565270463,1831.21872494834,11255.8784997015,21104.5808366762,57727.887828953,0.642147591357994,2.71192822106258,4.48966909978969,7.44925580781502
55613.4155129439,283980.297498223,509229.244666412,969130.558404873,6840.09588705152,31259.0877633798,55406.5442242969,118385.080538368,48773.3196258924,252721.209734843,453822.700442115,850745.477866505,4524.58216435467,17271.0452124497,28625.3805126862,50276.1879578845,2308.58915271845,13952.2363069074,26710.2970333434,67907.536676793,0.69085345077203,3.03057839131672,5.19655607651826,9.34220376648079
67970.7604782874,382952.738730431,694569.19560336,1322827.4199764,13501.2828034887,71215.9952840991,128435.646004,261305.610008748,54469.4776747988,311736.743446332,566133.54959936,1061521.80996765,4601.86233010979,18143.339832167,30329.3687020745,53355.6495994067,8892.49215314982,53036.6047682883,98034.7438921509,207738.589612892,0.669970115235077,2.96196672692114,5.06336050469586,9.06426991694511
44242.154747182,237329.926288502,429299.474201135,814503.013629243,6561.6038668758,29707.1322550213,52548.1697350273,114130.156594783,37680.5508803062,207622.79403348,376751.304466108,700372.85703446,4792.13645829596,18667.5301666268,30945.7327686346,53177.5024191695,1762.5737171621,11004.2459422965,21532.1922244641,60742.1637955901,0.643121444785583,2.76098201672567,4.66686960809144,8.16957018398308
