"n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_TOTAL_life","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_costs_HEALTH_SECTOR_life","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr","n_inc_qalys_TOTAL_life","n_inc_costs_TX_1yr","n_inc_costs_TX_5yr","n_inc_costs_TX_10yr","n_inc_costs_TX_life","n_inc_costs_HRU_1yr","n_inc_costs_HRU_5yr","n_inc_costs_HRU_10yr","n_inc_costs_HRU_life","n_inc_costs_CRIMINAL_1yr","n_inc_costs_CRIMINAL_5yr","n_inc_costs_CRIMINAL_10yr","n_inc_costs_CRIMINAL_life"
5964.86651531904,16733.5498522107,14066.7574834863,1637.09097330971,-1343.11492766805,-2387.25043741505,-2908.99311418239,-3718.414032991,0.0235668234847223,-0.0287007030825195,-0.108856061557433,-0.266439942788542,-2107.26004593964,-4180.14220233925,-4921.96171583049,-5854.77674740941,764.15745657505,1792.81826935898,2013.05011480158,2137.91462515906,7307.98144298709,19120.8002896258,16975.7505976686,5355.50500630087
1948.40924541907,9644.8237192682,5651.53130328073,-9844.11948995967,-671.019065676688,-1365.58759137877,-1830.06226353643,-3128.29237036509,-0.00507240709977685,-0.0378871238205947,-0.0755398368455902,-0.152988944023315,-1401.6794551356,-2545.14785018705,-2868.48415228001,-3245.95646857485,730.68916211055,1179.8808314116,1039.13120673371,119.871674154696,2619.42831109575,11010.4113106469,7481.59356681712,-6715.82711959467
-601.939387519793,1190.97456159198,-2314.70655180776,-11888.3578721997,-1360.23087569222,-2405.3733893579,-2964.7951786904,-3840.36033352643,0.00456449203072373,-0.0512750839426914,-0.126162752049951,-0.26145372330009,-1829.15996218838,-3820.24865536071,-4513.24162834217,-5222.49859732595,468.926215829197,1414.73620445029,1548.30180656474,1382.63734746704,758.291488172435,3596.34795094989,650.088626882643,-8047.99753867334
17111.8319102777,38749.5415692193,34860.8916490157,15274.8622206473,-927.00228832237,-1810.96004594123,-2416.01899600798,-3506.08178009331,-0.00137848201753754,-0.0604476949485213,-0.127218114656728,-0.249056999604662,-1814.68034669539,-3692.39869420301,-4289.44256836506,-4901.88957366059,887.692157405883,1881.44394304814,1873.63585147545,1397.46529411999,18038.8341986001,40560.5016151606,37276.9106450237,18780.9440007405
2123.81595167486,6695.90794311708,6025.33643688209,481.836341562681,-957.451617892497,-1831.43295732536,-2146.52651050969,-2721.52954596358,0.00513730845981852,-0.0144100956268152,-0.0426677908164068,-0.107993289586974,-1464.30435053063,-2674.35894529456,-3002.43863301922,-3396.05650717607,506.876094997752,843.165071079116,856.409035570716,676.012512657588,3081.26756956736,8527.34090044245,8171.86294739181,3203.36588752619
12752.4476331756,32254.0894340458,30890.2943907945,14701.5605492329,-1475.48029180669,-2391.52032493895,-2750.36315622203,-3326.53640648388,-0.0258391220082087,-0.0978424959788344,-0.16372701561767,-0.292652010086915,-1894.66391580668,-3578.03491548906,-4168.4183129416,-5130.91970413395,419.155887370181,1185.88220671568,1417.03813512319,1803.95253305746,14227.9279249823,34645.6097589848,33640.6575470165,18028.0969557168
1626.03632802171,4575.8822073178,1428.30555223627,-6705.21866459236,-1388.30846257715,-2473.35225870427,-2995.59328929678,-3895.39175535268,-0.0145557684756339,-0.0671055526341253,-0.11931428623793,-0.210647362723688,-1461.28118645665,-2813.96459055641,-3242.18190291705,-3699.07652863416,73.0013970917394,340.952875398691,247.437799006213,-193.558086926925,3014.34479059885,7049.23446602211,4423.89884153305,-2809.82690923975
5332.57952635654,12431.0025029265,8245.86652534996,-6307.43314797629,-1692.78883752544,-2728.72389368046,-3426.96157403824,-4722.1729714829,-0.010370153272766,-0.0789362731830918,-0.155472986685329,-0.304826869401223,-1757.59255424592,-3556.8754484744,-4245.36498533213,-5134.53278688336,64.8056328885327,828.099420451337,818.553677412183,413.887910537407,7025.36836388197,15159.726396607,11672.8280993882,-1585.26017649332
9526.88746190906,24898.5468458195,22255.2690228095,7053.34589142725,184.61813923877,1588.67557767671,917.294595590298,-1714.62757196854,0.0128319173512959,-0.024277144567586,-0.0810488741656474,-0.194789862451701,-1679.73272807328,-3188.12191920768,-3728.3704814433,-4449.40635167397,1864.36273891806,4776.85036555603,4645.924593162,2736.3053545669,9342.2693226703,23309.8712681427,21337.9744272192,8767.97346339561
15251.6211514707,32792.9811802593,30503.0876683577,13782.8760590639,-1102.3617523307,-1878.43003649082,-2666.95076730818,-4230.67839156304,-0.0252515196850307,-0.12407411897926,-0.219343575967727,-0.390423603865381,-2170.24922761958,-4568.46729613428,-5647.58871827589,-7136.11585204263,1067.87290247279,2689.67159933966,2980.11877730203,2905.65415550839,16353.9829038014,34671.4112167501,33170.0384356658,18013.554450627
27138.6198840223,51280.9133873915,40944.6193458727,14722.659935975,-657.053068054431,-1391.37741579532,-2352.91980647874,-3897.0750158986,-0.0335756453562392,-0.140794142921055,-0.236829847423692,-0.373247084766651,-2009.74104278076,-4084.09344005999,-4912.91159081884,-5779.98511426192,1352.70403848176,2692.94420704316,2560.7814534672,1886.2689836714,27795.6729520767,52672.2908031869,43297.5391523513,18619.7349518738
