"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
2846673.85717725,-456280.118607303,-173239.026515803,-25681.8507934779,-329144.742180765,42037.5825504639,22140.3274353428,14806.6342182544
1891113.21329614,-554063.382535869,-208050.836751401,-58522.103523097,-144096.875005776,42933.3020627059,22684.5609327671,15310.0957750542
4652302.97251585,-305548.030091955,-97963.3721094788,17546.5992115601,382685.584633698,-15417.7140952065,-1311.25645488882,6154.60981664113
-675944.609598105,-370721.444760702,-193109.730947625,-55655.2692886913,51392.8320138471,15554.3732081406,13532.4226846032,13485.6530926288
879926.433461541,34494.6169522605,50461.4484964982,83345.9170235836,412465.668677035,72368.3201646247,41958.6841031755,26486.7044151192
-708077.06906359,-166871.374765328,-50954.4771766874,24466.8521507997,65337.6615086696,9429.12152822496,9111.95302491611,10049.8683250732
1306494.13528995,-400851.91632347,-143251.014024117,-14784.1050223299,-210928.6867327,38844.5140337341,18497.7679654212,10098.6160211116
956928.253703025,-318615.747747103,-95069.2524593988,7594.95389023327,-243350.280721006,77973.1046279442,38840.2863742685,23072.8782135553
334027.97252698,-15992130.1204079,-293853.460910784,-33721.094215947,34670.8080762695,-643199.076322967,-4120.95309810498,5708.8406676789
802466.305469489,-282000.909849521,-87562.0239532458,12480.6400966685,-295308.439379028,63415.3950004986,32985.829638586,22262.0410959477
79240487.6476394,-417209.733922019,-160019.332571896,-14949.6355036172,-22041788.0551115,89941.3806269607,47536.6615224384,27021.2653527299
-255419.951051166,-172963.038597087,-84950.6323348002,-6336.76510156551,5227.09708811695,9279.04119495744,8810.36337852735,8162.80721949358
-2278361.99846033,-403982.431486962,-174193.92701825,-29253.8755950277,396515.957737571,57387.2573815382,32892.0505162816,19602.3660763462
-817116.148709795,-302609.613297343,-145312.582834117,-26391.1652650243,27945.5964003507,-16414.5718323972,-7384.67973001892,941.414481313252
801169.983951229,-588843.266743102,-178936.078642425,-26631.2676839227,-103997.781806468,63756.0249480145,29542.842405326,19717.9980442264
520430.829847082,-309103.416370023,-89539.640073213,23979.1227145502,-324854.976928791,73986.4240033221,35249.413695057,19846.1679226291
-185889.255897019,-75157.7298127251,-13430.8615906529,29923.1133184746,69428.3316200494,29389.3365819979,22975.489609298,19465.9576168789
362992.877878299,-923116.137197517,-194402.845380255,-9197.30211437294,-69771.9018507078,134925.569131212,40527.1518210425,21123.1083581219
-869035.597632044,-231796.151594328,-87038.5284469312,3916.91365269032,141424.16339935,32518.6743798618,21147.0281615912,15058.9136408713
-703226.344435364,-166800.334767218,-46562.060602114,30078.0140643821,87794.8459778299,23607.8869102147,16787.9090155549,13322.0282423629
-484496.120888822,-98564.2856933507,-25678.0361644682,22669.1991409341,389914.631773584,76258.3893610267,46717.8189614812,30844.5074422648
448597.216675185,-134731.126342935,-22820.6584885083,43800.1165297507,-764136.15342765,68920.9801270344,38245.6374004764,26325.4651245147
1851391.77653827,-239473.130441139,-61019.9705333715,21028.8589705434,-746966.548838603,70855.713901805,37318.0277029735,25151.1954965064
-277445.190417308,-117810.072595109,-39269.0314872338,16656.3083532905,159044.251633458,42777.7440978608,27068.356750964,19255.5140084232
637260.456398276,-920293.350666108,-243001.169936695,-31717.5329303852,-178537.003694629,188228.724205859,65948.5208512867,33237.0522644626
593774.372852798,-272570.398196295,-93171.6550871465,762.812297414085,-496041.992723939,120905.083869165,55589.1981922542,29075.6513743988
1588129.56883611,-277656.334777093,-84354.3338270656,6965.8675111393,138622.839602313,-14456.3455533939,-615.541508487859,6135.53924912028
-1278531.6557185,-352882.346393382,-156809.509936803,-35793.2792696075,17839.7851202985,10617.3810154593,10603.7126724167,10732.6617654683
-1373186.72707363,-257076.119934971,-100195.09920445,-688.660111891961,301239.302102275,46036.9496912763,27870.1849332118,18892.940588714
-4764417.78725872,-333971.081950196,-137841.681830504,-26074.0789189377,807458.019278987,44159.3960207564,25674.7782356081,16885.0864835718
-332761.490458822,-159481.426702365,-56898.8418287083,17149.5986404699,160150.378136437,41161.5411723757,26018.3661794113,19019.3771037113
47455.8486245431,-59483.3394505963,9966.03384605812,57997.9966538349,124161.993127078,14894.7205534549,11940.9166646813,10750.454755536
-463316.163047216,-250152.226758824,-126397.306497611,-24459.358113542,75183.60216672,27615.0443673792,20796.5907306948,17667.2034884325
-1184002.21642269,-170562.124149691,-53115.2509209782,18865.4804525068,22138.5824556072,4647.84552518366,6866.47132549645,8691.03828831557
854427.316734779,-321491.688174116,-106222.418379245,17634.832350846,-226600.20743729,47135.2815106546,25026.904575823,15048.4104537862
-294911.474153059,-224145.636471277,-113079.889740971,-13918.1668577318,66697.933555097,21392.7130071887,13877.9882588253,8835.56482584521
-334624.325131885,-248829.693550058,-134555.09784383,-21216.7401759461,125957.821501292,55890.3998117092,36814.6047457381,24591.6996496785
-1141621.20499638,-283805.105090303,-110946.182273417,-2790.24922521388,236298.494213923,56824.6548136157,35545.2832921107,23601.5118135565
-2771118.65739828,-530597.164572693,-220308.632862663,-41910.456014754,57861.9549204905,7782.99856078216,8988.79308021703,10192.805444756
488313.976657302,-256392.808988292,-59706.7572827993,30779.9721935579,-129000.60810882,56721.498315022,27839.9021940955,16922.9375172671
-5261926.44172462,-389054.903628572,-167032.992494015,-42398.1511120859,-384504.291414457,-12442.3266834639,348.297865970011,7198.24192861362
341768.639892191,-41699.7947779179,9134.27297051945,70937.4957148387,236397.219029612,68640.4515244834,40512.8973648431,25897.3778298268
-62478083.5816071,-418635.693591834,-180601.735350546,-27462.0431536209,8086189.02911834,9697.2107614665,8494.73244573244,11863.5985139688
-5396572.52465299,-660125.091003229,-282303.869119696,-64191.9228052396,472869.601576439,43120.8961798985,23523.3968761079,13840.3214799315
-545576.931567064,-150586.867529603,-44807.6619905405,18344.1444667305,-147274.455849016,-15855.6537342411,-4588.76855388118,504.768887722138
-2096413.48000553,-171221.917805373,-54691.7483845848,17673.1790624207,997980.596382755,42793.6908426965,25073.0888114863,19252.3416085768
275738.134764564,26417.5360029516,48667.7778805988,73254.9430343358,405914.003266772,114454.614295058,68884.8978397278,42586.5810351995
-3330870.70016904,-325052.025659881,-126408.48469754,-6709.97063559784,525858.878419706,31079.5679348623,19315.7925894168,14737.9096829032
-309225.233697502,-98715.7281976984,-29004.0882102254,16706.3152264771,40659.1500497998,9738.53575231876,9359.56706234885,9873.69799629319
8732604.66020607,-374002.785257272,-135203.502270477,-8667.60404368316,-2506880.80684647,70647.1390143639,39059.8719187901,26175.7824296448
-1771183.22058252,-383407.80743643,-163050.796114256,-34641.1065365872,127876.276730065,31282.9973651815,20295.7395711517,14340.8566332323
1909456.55090717,-575916.933927578,-180080.315666973,-12636.9633837138,-281545.289545604,56922.1247464993,26564.5780185345,16874.138423545
-2196940.75658636,-318533.0110149,-133882.807015913,-19587.4707331613,315829.479939388,39706.6955812768,24989.2486723647,18231.8692806309
-1146070.44688705,-418785.988871516,-189768.071228461,-36726.399408648,50028.3374889251,17948.2070445964,12684.0408312368,9716.90365748305
-2536453.46882003,-637491.431026072,-302738.454212021,-85032.5029242301,98203.298514885,24653.1783726567,16234.4155591125,11512.2168473522
-1244496.89886948,-361683.61686852,-162093.253324433,-32237.74610583,203643.209208389,41799.7339369604,31956.2407183055,28736.543068919
364626.227742704,-176119.62176375,-31485.0562834416,44296.3076034491,-572748.808046162,151979.38669462,70323.5381550518,36579.4947624929
-880207.52547194,-296725.631176749,-135112.434668308,-18746.2064943371,98636.4810024395,23756.1135125917,16120.7048168177,12774.5425129195
-1043255.68417178,-300439.159578941,-144334.618786202,-28767.7195810478,32135.4525047568,9004.43418383285,8351.26982734128,8262.07986130382
-2290971.90691485,-303387.91371596,-113560.611990686,-6040.86161912991,-99753.224891529,-13442.4670656746,-1492.27426012977,6853.71175683254
-392739.537003835,-237608.627641745,-113393.689299128,-5797.93890571249,36424.5630572404,18507.6681677679,14119.9636553754,10941.4459011022
-872094.270592947,-211597.54402714,-86154.6693132382,-4028.25341277379,2212.30142733733,4338.97055816966,6408.25872300246,8664.51247890717
-638822.660069953,-252866.944003798,-113080.538972936,-9078.46864899295,203241.477406243,63846.3048413274,41332.645438871,27544.0058593624
93102.6674751903,29693.0732017473,52792.1282810404,71240.0458829807,119388.957192579,27932.6203394884,22780.2670980342,21052.5783013924
-3533304.55214422,-420344.974777631,-178626.214201653,-43683.5764921564,210979.988184196,23546.8253524788,16073.0871010314,12832.0857121928
-988474.108874126,-277644.898061506,-126305.159546686,-23631.6255436048,120186.813834765,28617.1976993766,18873.9246881848,13521.1864119367
-1371719.92241523,-386030.468979394,-168880.326243271,-24749.1878938732,309451.47094409,47675.2670711823,28031.8639683192,18420.3693900354
-1929573.44533087,-425710.645115868,-206843.897125141,-62402.2355792395,90477.1722794583,20241.1950396315,14624.5106810176,11904.3339489621
-343809.622582427,-173031.796765652,-85451.6650308367,-6916.66926078039,172468.136891967,83414.4340496551,55786.3253964961,35722.6510927177
4566663.49018765,-597404.581062148,-248051.188418369,-65655.9687815018,-743422.206743744,79798.1879733479,41788.3950252374,24584.9123881288
-1985328.73125823,-339035.240351798,-145101.797820275,-33052.9020572294,224217.558258594,21883.0446346544,10585.3032608479,6229.70886425244
-683741786.21224,-494907.864822642,-208113.299297921,-40130.4187400621,105553204.851402,59288.2953195351,32904.8295842567,21075.5259379862
-703952.200850946,-187361.512216817,-70560.9717985265,4283.86470592253,273334.952850614,60209.8228315513,37183.4261610484,24574.4445332149
165514.243276083,-330064.359315823,-88963.1146673618,15887.884316127,-132605.960382104,79931.7034251947,33473.2903739587,18643.7781364505
-911864.60319339,-293563.409473274,-130917.226624249,-23777.1698341358,147584.191002947,36120.0896383951,25310.9414870905,19917.3812718687
-6375394.21551568,-523074.50432066,-239275.034780907,-64314.916649987,621406.197541905,47160.9295078178,27907.0871170477,17875.0238083053
-3175899.91076515,-325815.932635721,-120572.784445781,-10890.5371398379,349527.59857928,28087.4952310381,18223.8111757449,14230.6674346592
-716920.213592777,-198833.225110829,-72828.2784165659,11934.2070173766,-89939.9754543614,-15615.2917332832,-2285.77900476717,6199.83055735737
-9191559.09828885,-562151.836345004,-238925.886463138,-46043.5610114383,1009669.55222412,36277.7082338407,20915.0396906461,13901.2587640976
-987204.300768077,-276612.317252936,-124394.637021657,-20958.4811053396,-100019.254606063,-34456.6299324817,-12103.7995188739,3784.43021539396
-9259075.43982743,-529897.385672739,-218868.502563321,-42670.0434168241,546034.858000653,24289.1292380514,17333.3281424836,15078.3057716021
-236490.060933347,-150122.500182367,-73396.7955735366,2281.5290209585,123425.087116808,64903.4802901997,46924.0879387026,33812.9238432744
-309703.132170078,-199575.002874402,-108764.645839236,-16854.2158161404,50417.1155728699,25777.5141082553,19129.7331403867,14415.5787173261
-447373.998170319,-154603.781432493,-45216.5157646783,31401.2838104776,45439.5318296785,12823.7481810903,11759.2012943713,11973.7372044953
-251992.519969169,-147173.09404257,-67257.7737555432,3740.20170456235,90708.5764900192,37131.4011002922,24354.258976467,17182.0165288005
-3379104.58764594,-453143.930516135,-186493.588446308,-46604.0177499672,57047.1711086801,12302.4843023588,11375.1655802023,11237.5817577673
419352.56049375,-159011.961490161,-41427.7282403509,27339.8542477187,-1483170.8969344,116400.71931248,56456.8641876102,31109.3775457933
-249209.599368232,-198395.405987029,-88163.1364651134,3921.03405253453,82355.944346509,35053.0971235988,24623.4601249427,18646.3283230446
-1788232.75869522,-474865.610387151,-220895.04608281,-57122.9899640428,85151.0061408457,30815.2620391015,22016.7933244115,16682.0394194714
422192.5581808,-326594.806472283,-76940.3259443296,18716.8012515355,31272.6730557048,-11754.7118072579,1876.1136827147,7485.89475229862
-348344.523569194,-121567.867941367,-50555.1968740959,5770.0496230712,60620.2286131227,9901.95534662417,7974.24995653173,7680.04220593545
4966932.29838022,-510345.948292684,-204075.191230026,-40608.4833503947,-367291.202821872,17218.7425383954,15237.4811837657,16687.9343419993
-162193494.05772,-287881.93673252,-111511.025871764,727.107552964828,70617282.4550816,67855.583418702,37030.735244807,21519.0583271217
-1617464.59349194,-546231.472105955,-265479.431544528,-73039.5342313427,153269.624007883,35999.607970016,22340.4692090416,15437.8894274933
-10659238.8819336,-361206.266928643,-145074.162263836,-17842.4986986154,634245.035330389,20828.3588064495,13627.1711574029,10313.876144668
-789872.565340997,-280020.83535325,-110911.813376025,8136.11389375496,258974.521817528,47233.4949473258,28590.6216846338,19265.8066535726
-2216839.65830813,-280941.295676259,-95330.2987157252,18871.5290886678,1129108.75505764,68789.8736362563,37161.1210277063,23123.4361799776
145378.399877789,-780436.797260373,-109267.534060668,39243.5763567326,-146410.912491166,312461.517189646,74652.5601464455,36480.2861447084
566194.832734984,-438642.108752505,-154308.986275015,-2477.3952276988,-389165.958293038,162182.935619317,74175.7503366472,37428.7972705792
-13641.6366676394,-50816.2804098676,-13992.8628098966,23278.1822077467,56033.3136073494,1791.29814542896,3327.58117445436,8214.67031598144
9556858.49974482,-410300.608080363,-154148.458917197,-16935.960379612,-1213373.3577218,40477.3463051929,24488.9264311364,17627.413228439
276792.254505391,106103.978015476,87255.7785785603,90974.6669463891,-6687.03669004869,5369.35955696598,6923.66052966968,8228.87159525496
5574462.47219037,-471203.846288007,-170635.805623911,-16219.3207413484,-823114.221635514,63616.4018178389,33550.1905030353,19948.7306494314
-991618.125325008,-279728.236305205,-109382.067026589,4954.69133813137,394123.336737092,71505.5589952352,41298.34520157,25702.8262969077
-20201968.1624246,-239296.227667872,-86197.1832915707,138.229371887319,3632480.21242467,34859.8278324704,20124.028174053,13572.7474677422
-1066559.39239969,-63953.0781461655,-5060.24131847124,32424.4328449224,1230786.24611826,50144.4355452251,27010.4031036974,16657.9055616395
1027925.65651684,-280905.424557586,-97531.9212920313,9539.33303009226,-496557.617071016,51801.457242233,27790.9288137124,17939.3454884786
-1480469.85596895,-415448.218818123,-199094.654093274,-47682.5425296421,259259.718263884,54892.2478254426,31897.8464035138,17756.9544422663
-4486505.13807131,-249287.320039605,-94790.4496627549,-8522.55245780388,529221.315102071,24796.3067592818,15315.8197608862,10870.7676784526
-1400510.07797295,-436120.40310359,-192543.438253413,-32827.59743401,164581.236134134,41113.9076634658,25574.5127589554,17121.3707910331
-617248.231709553,-250272.609956128,-117232.754829535,-23102.0060861141,33190.1484302429,12556.8362227386,11416.9404693963,11650.8267876048
3315783.11984295,-258233.907938522,-93179.821785304,-7053.08806591186,-753474.870761218,44573.1698849135,26224.6950675003,18726.3144615217
1020526.30773604,-164663.473100072,-50938.5588875514,20854.2091165971,-1399309.398951,91240.8490625065,48225.0386508672,29249.8232631359
-187893.280451686,-68837.2610762427,-8104.33005521739,34451.5520648233,658202.717350389,47907.993772245,27718.8146234311,18174.6112253797
-1941067.17575758,-349170.897598301,-145291.690473138,-28905.0690447359,46311.3208004365,17107.722814313,13697.9805500631,11746.1096546788
-1120551.90813358,-281412.128602355,-105561.48271338,8419.0337769328,206248.01439323,42548.4494657146,24810.3618339261,15361.7410578968
-180640.159066886,-115087.589568769,-46052.9694662346,12932.3493673045,97657.0317891333,36337.5057701789,27128.8345989738,22686.4474830494
8876864.36063306,-904787.534967666,-384040.200148457,-94616.4585105756,-859790.684594174,63700.46554972,34386.8828364802,20670.0441050909
-1331808.68359637,-218916.581229782,-84719.8512712958,4296.96923288322,107266.669831616,4874.55135766023,6217.84737554878,8340.83684749387
-767903.762682256,-280674.066376803,-125678.34030845,-25326.4380024867,64519.8900584806,15744.252464067,9642.7292742786,5340.77531312928
-2967708.35817784,-668562.718854454,-321982.942598967,-98487.9608337319,193858.729845851,35739.4784120406,21659.0065088083,13085.9018683022
536802.561575838,-104116.905865634,-9366.93608453471,43474.3304262493,-1028216.62988179,105805.933522872,53214.8041587014,30546.3562657828
-406460.752213773,-175103.673243463,-72314.3610904717,5014.59520595699,133450.632717465,28303.2473036006,17938.9020144428,12280.3630320888
1749574.1588985,-484018.023786617,-182262.293743002,-30682.5417768926,-173541.30974094,37250.7391105322,20417.041606976,14424.2979784708
658472.631545231,8784.27911916917,41240.8279409269,72431.9153260559,353241.435557587,42248.8966622227,26696.4386759105,18820.0959266681
-128241.358645343,-100471.144925167,-39673.7692621726,14972.160276638,49682.5109618609,19602.6192071122,15138.7927884193,12620.7007878903
-661850.338529571,-267904.820733492,-122396.944290511,-9613.3855711592,137776.985547558,49263.4438522134,32384.4891085146,21290.3849935683
-68144.071548751,-53591.0777963761,-11769.0139523517,24710.1426039721,84714.5950694122,22374.4936319921,17272.2454311929,15959.3637582663
-10389213.0773036,-401626.748963581,-148065.477685011,-6852.62519307482,1412391.05189811,41872.5997860266,23739.7030179232,15334.4150268973
-1760984.89313578,-195810.659369989,-73241.8949703292,4684.92408550848,631804.137665084,50248.5194228371,29597.7697981139,19995.0235440937
-6180192.23243597,-454660.562266826,-183670.463593917,-24900.1839790004,926437.88781076,51655.9427207956,30187.7023093694,19751.7624661803
105648.246776913,-1177500.41295811,-64655.9236506395,35706.9103777895,19265.4727499185,-34476.6256381218,5918.14938859884,9290.20684136458
-866458.341770632,-214530.232906089,-73199.0942822537,17845.6077876292,563583.055310922,98225.2716434189,57232.9003190427,35135.7494063551
-1209272.39960432,-252579.262470785,-107523.632153299,-14233.1417627077,205779.203986213,41526.9551110692,26384.0385929858,18208.5512780466
-1002131.08613226,-388147.485300344,-194675.817214476,-48214.6720391203,32734.4255521033,19777.0613107937,15811.2221130196,13426.4452636114
1232335.08607603,-269879.386826142,-95297.1743104883,-1157.70834001925,-15250.9544820845,9771.80352283203,8561.34914735457,8868.67501784715
-978741.173809929,-284074.378477811,-124324.830405952,-19362.6158614941,52344.0827201298,15440.6878750325,11990.1228608183,10266.5932152801
9384310.42750415,-558046.697487911,-240238.822109201,-65196.7910269736,-644203.332485681,29560.5326907772,16041.8264318234,9947.15919174885
4574928.14129842,-22563.8615067731,21732.6993364467,63863.0363889595,4267941.93810282,81685.9265239877,44442.1779555403,27587.4095801388
-782688.007355941,-248061.953690628,-113034.562430616,-13681.5421717655,113627.583601047,27225.6758258625,19305.5724232814,15091.6162586934
-2839947.92572221,-439833.622696739,-198439.941553446,-47429.6710697668,293223.237218749,44594.8855414242,27628.9798089137,18270.8865266462
-1066304.06132319,-445512.907180609,-240586.601442032,-81228.7191747413,68205.3276590658,23084.640639713,16606.0765696285,12465.8363801655
-226455.072993404,-134934.390592274,-56101.2928467047,13875.0151382644,93038.004277237,36701.3892363876,24881.42000219,17925.1271244751
-672271.356113593,-332667.939931902,-182080.90923355,-57996.1381171473,51780.1969287758,24192.7202959086,18441.8408920387,14562.109418428
-3373250.32309145,-150497.465097953,-36568.0041611704,33642.4743489138,52537.4411354228,6052.71507893201,7975.12764944235,9640.72208162513
-430453.095609255,-238721.140011246,-118394.767890629,-25162.23435671,60813.0567403232,24811.5205515212,16908.3535285585,12332.3879609902
15074624.8755899,-368235.235644515,-140650.239299999,-15861.76181795,555303.033841118,157.918222612566,4151.50545234616,6009.09166014355
-813249.536651113,-222944.750894544,-103372.021001177,-23908.1343694678,90095.7084113926,28725.7355318429,19034.5610072091,13301.0876243118
-1181345.34423855,-449271.635490113,-206951.632490136,-51445.1504232979,-32724.6877393044,-6298.32606015898,1945.09296359047,7162.5155539685
-1213692.92124299,-507199.991306086,-253207.748339325,-73654.2427755676,182163.255280912,53904.1650408524,31920.7052274506,18190.778530169
-1684621.23187572,-337209.579603182,-146096.261399565,-34530.9394225544,7912.7968423864,2507.2216489708,5529.0541197612,8823.26703838074
-945408.6384803,-268493.132645923,-116660.767884858,-18816.7057370018,58567.5618513047,14808.4621182502,13551.1531615924,13450.5707724118
1897672.26360888,-1677870.0098359,-555585.040812,-142733.494119712,-18946.0111220965,-11898.5532757573,2464.13281061201,11532.2027282486
79598937.9205836,-505283.415594076,-191129.520600128,-31323.2033420443,-6166559.07441283,40547.7213390602,24210.4525766932,16829.9652441794
-2658373.04118409,-547091.397502738,-244543.31181196,-57191.6507536638,294495.648319468,56777.9232954491,35216.036879243,23479.8651658787
-2116416.8399585,-510251.467805903,-233211.417392648,-69917.2961407943,231675.350158784,37203.8015695806,21689.771610113,14001.264456805
1114746.07334681,-497389.142691629,-154531.089906175,-4482.73635870909,259413.159438719,-69238.3938779219,-21095.4673941255,-1999.39277151928
-385980.561094438,-138533.696540421,-49437.7037795748,11596.9443662578,111095.577794297,30453.9872514231,21422.2517577518,17462.6851129939
59030.4473454479,-70053.8870026619,-20015.6942878456,30307.9314298253,140035.634707891,18901.4568335318,14581.20262845,16832.4012203395
-736405.119794074,-281173.536083116,-123075.901021539,-9019.34561335448,109159.718263067,31202.2643909504,20740.3824696698,14603.2302392029
2489051.89470427,-507455.917134523,-180978.74254359,-38608.9834939643,136928.313652536,-15926.0011538854,-3518.1908771344,-62.820325778932
-330138.85950727,-213112.16839469,-103941.904324186,-11743.8255595299,-39144.2778762031,-11835.6642080273,-3645.57657019958,2447.78470896766
