"n_TOTAL_costs_6mo","n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_6mo","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_6mo","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_6mo","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_6mo","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_6mo","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
20168.7201951964,47250.5478409066,256004.517628294,461082.739210631,957088.643075936,3062.48785649007,6468.05227529727,34300.0405116926,63904.3388280801,152776.15315207,17106.2323387063,40782.4955656093,221704.477116601,397178.400382551,804312.489923867,1706.01140976278,3466.71799438454,19049.7829713428,35579.8283025894,73991.1090026431,1353.026565704,2994.37446971643,15214.0919506191,28252.2033551888,78559.269857983,0.337156907972156,0.662816442712833,2.96072836885056,5.20356251382187,10.3568623756263
24724.5324910211,56534.7493334712,308700.805075963,557041.858183109,1113487.4570337,3207.57414252064,6665.9810120254,33698.4761644306,62064.4469065787,146473.094435473,21516.9583485004,49868.7683214458,275002.328911532,494977.41127653,967014.362598229,1633.31579170662,3168.44062517029,14728.674934395,26524.8656162133,54417.8037661683,1570.81470052092,3490.59197766806,18933.0649641595,35465.3078961179,91820.5283642532,0.344694930810078,0.67555044767302,2.97706003601498,5.17272491705355,10.0843403315749
27281.2925012554,64235.0139461701,335438.799548307,603076.191305171,1253586.39034406,2961.67249541922,6079.86440681439,31057.6860937849,57850.0607419584,140137.446495973,24319.6200058362,58155.1495393557,304381.113454522,545226.130563213,1113448.94384809,1596.29059284971,3173.94837508268,16611.0066832,30875.9418654637,65243.8242272806,1361.92137504392,2898.90004175932,14408.9356844028,26897.2946922711,74662.3601616822,0.325901341820031,0.640393421855414,2.84213086775959,4.98800400213595,10.075232030711
22946.6088815483,52711.5565342789,270420.514444511,483238.086633763,1018276.7795883,2814.32775974789,5681.16503650775,29214.5372669429,54750.1059948699,132212.213426463,20132.2811218004,47030.3914977711,241205.977177568,428487.980638893,886064.566161836,1663.82891557747,3350.91234394323,18410.0114784545,34891.5545530681,75590.4863120631,1147.05549632091,2323.31238689207,10768.4336660537,19786.3284557885,56403.1312261634,0.352905842722322,0.692505763885662,3.10294297039032,5.5041056435113,11.2938119144
32011.5060106954,73483.0590075956,368159.820690685,634381.69136445,1162020.29088759,3941.34213108809,8289.7821012536,41402.2343560038,74578.0110339214,169982.919975357,28070.1638796073,65193.276906342,326757.586334681,559803.680330529,992037.370912234,1641.30186751251,3301.37753789836,16817.5487606633,30109.9485688034,56762.9655402543,2296.58532989876,4981.40690075635,24547.2354101296,44392.3638379326,112974.408397262,0.350985922755039,0.684916692737681,2.94309247772042,4.98485830426658,8.93373642556991
19671.9267201059,47652.2306621206,270546.077359185,495636.291362313,1060245.04062181,2804.1706098387,5720.57741234619,29758.5878634941,56045.209412941,136440.948554582,16867.7561102672,41931.6532497744,240787.489495691,439591.081949372,923804.092067223,1643.56344569415,3296.67149830658,17964.6342798246,34059.4479421657,73870.0647370282,1157.16219939678,2416.95163207693,11757.2692457381,21911.6790245396,62347.4636763115,0.351010992535537,0.685006727934445,3.03697431422592,5.36803809843639,10.996468145972
29403.0094269529,64714.9127250483,322172.400991083,572613.654783552,1170508.58494776,3030.34003393527,6101.59186883589,30173.9298635496,55960.2000970555,134795.334951864,26372.6693930177,58613.3208562124,291998.471127533,516653.454686496,1035713.2499959,1627.96504578845,3186.48526218784,16311.2538457675,30395.7793115591,63652.2922192148,1398.92804891241,2908.14260231373,13825.7769807465,25489.9183291768,70914.519113762,0.333627661632589,0.656163724578541,2.93007156548321,5.15248534203219,10.3308970162173
31659.9922627682,73296.6915358322,364519.115076602,641562.812068264,1300765.20216414,3145.11322640615,6462.15422060039,32789.5860114815,60722.4937077677,144951.330429199,28514.879036362,66834.5373152318,331729.529065121,580840.318360496,1155813.87173494,1542.10933673517,3160.63714721726,17640.214693912,33022.9991322275,68616.046862748,1599.55495859675,3294.55462848192,15112.9363250141,27626.394433877,76109.2884521613,0.329105380518037,0.644711405059207,2.84433017273343,4.96881692188163,9.8412647516765
25564.617762491,55485.9361913151,267018.397220094,472055.708627556,967091.761882961,3192.81073762572,6512.91799676037,32302.8103892732,59594.9264868469,141327.479375428,22371.8070248653,48973.0181945548,234715.586830821,412460.782140709,825764.282507533,1583.32457219467,3121.3583027846,16363.3022220868,30630.8793697669,64416.9352596046,1606.03635539537,3384.58974168642,15902.8785713415,28890.5430242985,76685.6182974793,0.334122773810942,0.656699782589452,2.95625251512586,5.22207464790567,10.4978264845075
19906.1067436419,45793.8085327244,245322.997409579,444934.609337937,925925.314823882,3162.93614289332,6467.2862140252,31770.7676200667,58192.4000924897,138574.534318477,16743.1706007486,39326.5223186992,213552.229789513,386742.209245447,787350.780505406,1583.27803402649,3145.77292313065,16149.4919518619,29609.2713695654,60815.0818836098,1576.19148256803,3314.47901626104,15583.5364841983,28506.5491289121,77524.6312057629,0.346344776090483,0.678712150151042,3.01957232782483,5.29956288675739,10.502568466955
