,BUP_TX,MET_TX,OD_TX,BUP_NI_HRU,BUPC_NI_HRU,MET_NI_HRU,METC_NI_HRU,REL_NI_HRU,ODN_NI_HRU,ODF_NI_HRU,ABS_NI_HRU,BUP_INJ_HRU,BUPC_INJ_HRU,MET_INJ_HRU,METC_INJ_HRU,REL_INJ_HRU,ODN_INJ_HRU,ODF_INJ_HRU,ABS_INJ_HRU,HIV_HRU,HIV_ART,HCV_HRU,HCV_DAA,OD_NX,OD_AMB
pe,322.818,0,7316.718429,133,85,0,0,85,85,85,46,133,85,0,0,85,85,85,46,558.6666667,1576,891.6190324,15770.55556,125,518.25
sd,10,0,746.6039213,30.71428571,10.30612245,0,0,10.30612245,10.30612245,10.30612245,14.26020408,30.71428571,10.30612245,0,0,10.30612245,10.30612245,10.30612245,14.26020408,7.993197279,5.612244898,15.66815857,4075.255102,5,50
shape,1042.114611,0,96.04,18.75091401,68.02166454,0,0,68.02166454,68.02166454,68.02166454,10.40552942,18.75091401,68.02166454,0,0,68.02166454,68.02166454,68.02166454,10.40552942,4884.998733,78856.80894,3238.342238,14.97560532,625,107.433225
scale,0.30977207,0,76.1840736,7.092987571,1.249601882,0,0,1.249601882,1.249601882,1.249601882,4.420726532,7.092987571,1.249601882,0,0,1.249601882,1.249601882,1.249601882,4.420726532,0.114363728,0.019985592,0.275331934,1053.083012,0.2,4.823926676
