,BUP_TX,MET_TX,OD_TX,BUP_NI_HRU,BUPC_NI_HRU,MET_NI_HRU,METC_NI_HRU,REL_NI_HRU,ODN_NI_HRU,ODF_NI_HRU,ABS_NI_HRU,BUP_INJ_HRU,BUPC_INJ_HRU,MET_INJ_HRU,METC_INJ_HRU,REL_INJ_HRU,ODN_INJ_HRU,ODF_INJ_HRU,ABS_INJ_HRU,HIV_HRU,HIV_ART,HCV_HRU,HCV_DAA,OD_NX,OD_AMB
pe,0,579.2475,7316.718429,0,0,115,85,85,85,85,46,0,0,115,85,85,85,85,46,558.6666667,1576,891.6190324,15770.55556,125,518.25
sd,0,20,746.6039213,0,0,27.19387755,10.30612245,10.30612245,10.30612245,10.30612245,14.26020408,0,0,27.19387755,10.30612245,10.30612245,10.30612245,10.30612245,14.26020408,7.993197279,5.612244898,15.66815857,4075.255102,5,50
shape,0,838.8191656,96.04,0,0,17.8835365,68.02166454,68.02166454,68.02166454,68.02166454,10.40552942,0,0,17.8835365,68.02166454,68.02166454,68.02166454,68.02166454,10.40552942,4884.998733,78856.80894,3238.342238,14.97560532,625,107.433225
scale,0,0.690551103,76.1840736,0,0,6.430495446,1.249601882,1.249601882,1.249601882,1.249601882,4.420726532,0,0,6.430495446,1.249601882,1.249601882,1.249601882,1.249601882,4.420726532,0.114363728,0.019985592,0.275331934,1053.083012,0.2,4.823926676
