,BUP_shape_1,MET_shape_1,REL_shape_1,ABS_shape_1,BUP_scale_1,MET_scale_1,REL_scale_1,ABS_scale_1,BUP_shape_2,MET_shape_2,REL_shape_2,ABS_shape_2,BUP_scale_2,MET_scale_2,REL_scale_2,ABS_scale_2,BUP_shape_3,MET_shape_3,REL_shape_3,ABS_shape_3,BUP_scale_3,MET_scale_3,REL_scale_3,ABS_scale_3
pe,0.591423892,0.529558252,0.565163194,0.603096406,0.503343678,0.355460888,0.512747597,0.274350497,,,,,,,,,,,,,,,,
sd,0.005022715,0.003931568,0.003306831,0.023793696,0.009007551,0.006331223,0.006433963,0.028818455,,,,,,,,,,,,,,,,
low,0.581661029,0.521908314,0.558718945,0.558219062,0.521062154,0.367945067,0.525391154,0.333354982,,,,,,,,,,,,,,,,
high,0.60135062,0.53732032,0.57168177,0.65158161,0.485752555,0.343126672,0.50017002,0.220386638,,,,,,,,,,,,,,,,
