,BUP,BUPC,MET,METC,REL,ABS
pe,0,0,1404.2292,8456.7296,8456.7296,1107.4822
sd,0,0,460.4891837,2758.078827,2758.078827,642.7423469
shape,0,0,9.299018936,9.401378557,9.401378557,2.968928106
scale,0,0,151.0083171,899.520166,899.520166,373.0242568
