,BUP,BUPC,MET,METC,REL,ABS
pe,1404.2292,0,1404.2292,0,8456.7296,1107.4822
sd,460.4891837,0,460.4891837,0,2758.078827,642.7423469
shape,9.299018936,0,9.299018936,0,9.401378557,2.968928106
scale,151.0083171,0,151.0083171,0,899.520166,373.0242568
