,BUP,BUPC,MET,METC,REL,ODN,ODF,ABS,HIV_mult,HCV_mult,COI_mult
pe,0.769416308,0,0.769416308,0,0.745315605,0.54,0,0.71074513,0.78,0.72,0.71
sd,0.012419217,0,0.012419217,0,0.009972405,0.046428571,0,0.023518078,0.16,0.16,0.16
low,0.745074642,0,0.745074642,0,0.725769691,0.449,0,0.664649697,0.4664,0.4064,0.3964
high,0.793757973,0,0.793757973,0,0.764861519,0.631,0,0.756840564,1,1,1
