n_inc_costs_TOTAL_6mo,n_inc_costs_TOTAL_1yr,n_inc_costs_TOTAL_5yr,n_inc_costs_TOTAL_10yr,n_inc_costs_TOTAL_life,n_inc_costs_HEALTH_SECTOR_6mo,n_inc_costs_HEALTH_SECTOR_1yr,n_inc_costs_HEALTH_SECTOR_5yr,n_inc_costs_HEALTH_SECTOR_10yr,n_inc_costs_HEALTH_SECTOR_life,n_inc_qalys_TOTAL_6mo,n_inc_qalys_TOTAL_1yr,n_inc_qalys_TOTAL_5yr,n_inc_qalys_TOTAL_10yr,n_inc_qalys_TOTAL_life,n_inc_costs_TX_6mo,n_inc_costs_TX_1yr,n_inc_costs_TX_5yr,n_inc_costs_TX_10yr,n_inc_costs_TX_life,n_inc_costs_HRU_6mo,n_inc_costs_HRU_1yr,n_inc_costs_HRU_5yr,n_inc_costs_HRU_10yr,n_inc_costs_HRU_life,n_inc_costs_CRIMINAL_6mo,n_inc_costs_CRIMINAL_1yr,n_inc_costs_CRIMINAL_5yr,n_inc_costs_CRIMINAL_10yr,n_inc_costs_CRIMINAL_life,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME
-3441.397837,-5002.388509,-7933.838721,-9568.656271,-13319.45451,-1011.273251,-1722.335174,-3981.102561,-4649.146832,-5025.653041,-0.001264394,-0.004734562,-0.053068216,-0.105062747,-0.19658304,-1456.11528,-2587.916887,-6330.721901,-7342.748449,-8205.982916,444.8352731,865.549442,2349.047614,2692.446496,3177.738418,-2430.124587,-3280.053335,-3952.73616,-4919.509439,-8293.80147,,0,0,1,0,,,,,
3201.508789,4660.261932,8782.055182,10126.02316,10982.66978,-1261.664098,-2128.4785,-4408.92875,-4714.603848,-4792.888042,-0.002767216,-0.003780589,-0.0010946,0.004032168,0.003627287,-1143.752169,-1910.944149,-3897.840353,-4160.482199,-4200.333559,-117.9062148,-217.509414,-510.7390019,-553.4492009,-591.2325855,4463.172887,6788.740432,13190.98393,14840.62701,15775.55782,,0,0,0,1,,,,,
5005.028644,8020.389631,15767.54665,16684.5221,15065.45991,-1105.945282,-1981.38119,-4755.497975,-5385.953678,-5613.429299,-0.009301484,-0.017550797,-0.069405722,-0.111777214,-0.189200324,-1258.161826,-2298.764666,-5670.182164,-6459.063479,-7105.214609,152.2107439,317.3535367,914.1106703,1071.917779,1489.208609,6110.973926,10001.77082,20523.04463,22070.47578,20678.88921,,0,1,0,0,,,,,
1704.769885,2866.621903,5588.024621,3878.052715,-2714.681119,-573.6774173,-891.3583166,-2462.498788,-3309.331768,-3799.837378,0.006391373,0.006330381,-0.067648447,-0.178958129,-0.393044054,-1462.977511,-2672.913441,-6733.865433,-8067.876915,-9648.732849,889.2842209,1781.478433,4270.142659,4756.186102,5843.5839,2278.447302,3757.98022,8050.523408,7187.384483,1085.156258,,0,0,1,0,,,,,
326.776427,912.0233187,3043.557267,2449.558479,-632.9674075,-1173.109891,-1966.496505,-4296.078185,-4913.208705,-5256.312503,0.005459504,0.005270446,-0.030527279,-0.078018358,-0.172715022,-1556.513489,-2754.855888,-6029.563374,-6783.413557,-7587.838267,383.3916086,788.3084519,1732.867579,1869.202239,2329.897584,1499.886318,2878.519824,7339.635452,7362.767185,4623.345096,,0,0,1,0,,,,,
5962.042827,8956.41247,14930.70596,15264.8406,13834.08352,-1206.169168,-2001.201746,-4247.560173,-4744.16926,-4972.319844,0.01345305,0.018344504,0.004175418,-0.026438858,-0.089262874,-1363.936002,-2385.903034,-5307.974746,-5917.809119,-6451.43235,157.7583332,384.6654628,1059.877577,1172.59152,1477.068309,7168.211995,10957.61422,19178.26614,20009.00986,18806.40336,,0,1,0,0,,,,,
-1340.516474,-2066.6091,-2295.86513,-2103.275773,-3264.201119,-1245.199661,-2124.755005,-4522.019284,-4975.595473,-5130.788888,0.01723022,0.027006456,0.033900415,0.012816714,-0.036933596,-1379.254292,-2412.641518,-5336.86019,-5882.022069,-6268.234764,134.0471369,287.8528133,814.3093438,905.3770138,1135.406817,-95.31681336,58.14590488,2226.154155,2872.3197,1866.587769,,0,0,1,0,,,,,
-1479.577052,-1683.942574,-1168.272682,-1823.197509,-4472.301895,-1345.664554,-2315.576224,-4999.906871,-5657.599431,-5912.190883,0.010747472,0.012751258,-0.02381489,-0.080068063,-0.199531867,-1453.77248,-2572.164739,-5710.947682,-6473.519187,-7263.890337,108.0869789,256.4993814,709.8206932,813.5966576,1347.137982,-133.9124976,631.6336503,3831.634189,3834.401922,1439.888988,,0,0,1,0,,,,,
1722.38808,2542.632775,3957.523733,3526.408868,1847.89573,-896.8520283,-1501.845783,-3156.487256,-3518.091338,-3639.351302,0.005154533,0.007119009,-0.007900334,-0.035494349,-0.095370767,-1171.057175,-2024.389464,-4448.411505,-4951.056872,-5312.232399,274.2001265,522.5225024,1291.588266,1432.31369,1671.59762,2619.240108,4044.478558,7114.010989,7044.500206,5487.247032,,0,1,0,0,,,,,
2929.029947,4015.069439,5501.466087,5170.399584,3549.3956,-1177.014257,-2014.948554,-4260.405136,-4696.007362,-4857.891374,0.002126198,0.001823514,-0.017975854,-0.044339764,-0.10246934,-1362.726219,-2400.337792,-5305.270986,-5870.70978,-6327.970012,185.7071299,385.3657741,1044.488413,1173.991589,1468.720138,4106.044204,6030.017993,9761.871223,9866.406945,8407.286975,,0,1,0,0,,,,,
