,BUP_NI,MET_NI,REL1_NI,REL_NI,OD_NI,ABS_NI,BUP_INJ,MET_INJ,REL1_INJ,REL_INJ,OD_INJ,ABS_INJ
pe,0,7.01E-05,0.000925545,0.000925545,0.001607041,1.75E-05,0,0.000233633,0.003085148,0.003085148,0.001790063,5.84E-05
low,,,,,,,,,,,,
high,,,,,,,,,,,,
