,BUP_NI_2,MET_NI_2,REL_NI_2,OD_NI_2,ABS_NI_2,BUP_INJ_2,MET_INJ_2,REL_INJ_2,OD_INJ_2,ABS_INJ_2,BUP_NI_3,MET_NI_3,REL_NI_3,OD_NI_3,ABS_NI_3,BUP_INJ_3,MET_INJ_3,REL_INJ_3,OD_INJ_3,ABS_INJ_3
pe,0,0.725555,1.22,1,1.09,0,0.961,1.22,1,1.09,0,0.724045,1.35,1,1.08,0,0.959,1.35,1,1.08
sd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
